iterations,1,2,3,4,5,6,7,8,9,10,11,12
(3X2),"('UNSAT', 0.24804949760437012, -1, -1, -1, (3, 2))","('UNSAT', 0.40235090255737305, -1, -1, -1, (3, 2))","('UNSAT', 0.3106260299682617, -1, -1, -1, (3, 2))","('SAT', 0.4966084957122803, 21.5878, 0.100924, 5.290935860103e-06, (3, 2))","('UNSAT', 0.2890801429748535, -1, -1, -1, (3, 2))","('UNSAT', 0.3651278018951416, -1, -1, -1, (3, 2))","('UNSAT', 0.2998037338256836, -1, -1, -1, (3, 2))","('SAT', 0.42691969871520996, 23.9343, 0.122404, 5.277744094201e-06, (3, 2))","('UNSAT', 0.3071413040161133, -1, -1, -1, (3, 2))","('UNSAT', 0.22487759590148926, -1, -1, -1, (3, 2))","('UNSAT', 0.04240107536315918, -1, -1, -1, (3, 2))","('UNSAT', 0.04003477096557617, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.2794055938720703, -1, -1, -1, (4, 2))","('UNSAT', 0.3644101619720459, -1, -1, -1, (4, 2))","('UNSAT', 0.3267693519592285, -1, -1, -1, (4, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.2562103271484375, -1, -1, -1, (4, 2))","('UNSAT', 0.34998297691345215, -1, -1, -1, (4, 2))","('UNSAT', 0.24327349662780762, -1, -1, -1, (4, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.3045625686645508, -1, -1, -1, (4, 2))","('UNSAT', 0.20943331718444824, -1, -1, -1, (4, 2))","('UNSAT', 0.03109574317932129, -1, -1, -1, (4, 2))","('UNSAT', 0.029950380325317383, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.23453545570373535, -1, -1, -1, (5, 2))","('UNSAT', 0.2660856246948242, -1, -1, -1, (5, 2))","('UNSAT', 0.3228631019592285, -1, -1, -1, (5, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.34376001358032227, -1, -1, -1, (5, 2))","('UNSAT', 0.3890070915222168, -1, -1, -1, (5, 2))","('UNSAT', 0.2564733028411865, -1, -1, -1, (5, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.3213825225830078, -1, -1, -1, (5, 2))","('UNSAT', 0.21526694297790527, -1, -1, -1, (5, 2))","('UNSAT', 0.04263806343078613, -1, -1, -1, (5, 2))","('UNSAT', 0.03059554100036621, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.28912806510925293, -1, -1, -1, (6, 2))","('UNSAT', 0.46150922775268555, -1, -1, -1, (6, 2))","('UNSAT', 0.32357192039489746, -1, -1, -1, (6, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.2559185028076172, -1, -1, -1, (6, 2))","('UNSAT', 0.37699413299560547, -1, -1, -1, (6, 2))","('UNSAT', 0.2432699203491211, -1, -1, -1, (6, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.3283975124359131, -1, -1, -1, (6, 2))","('UNSAT', 0.2047288417816162, -1, -1, -1, (6, 2))","('UNSAT', 0.04317140579223633, -1, -1, -1, (6, 2))","('UNSAT', 0.02964949607849121, -1, -1, -1, (6, 2))"
(1X3),"('UNSAT', 0.14145779609680176, -1, -1, -1, (1, 3))","('UNSAT', 0.1197211742401123, -1, -1, -1, (1, 3))","('UNSAT', 0.1214301586151123, -1, -1, -1, (1, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.07311153411865234, -1, -1, -1, (1, 3))","('UNSAT', 0.09949064254760742, -1, -1, -1, (1, 3))","('UNSAT', 0.06063556671142578, -1, -1, -1, (1, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.13324284553527832, -1, -1, -1, (1, 3))","('UNSAT', 0.04000258445739746, -1, -1, -1, (1, 3))","('UNSAT', 0.042144060134887695, -1, -1, -1, (1, 3))","('UNSAT', 0.01978445053100586, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 0.4708273410797119, -1, -1, -1, (2, 3))","('SAT', 0.6863570213317871, 25.3422, 0.088203, 5.455537575472e-06, (2, 3))","('UNSAT', 0.1856377124786377, -1, -1, -1, (2, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.5750446319580078, -1, -1, -1, (2, 3))","('UNSAT', 0.3464515209197998, -1, -1, -1, (2, 3))","('UNSAT', 0.5360734462738037, -1, -1, -1, (2, 3))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.5065805912017822, 19.7106, 0.088203, 4.785664259543e-06, (2, 3))","('SAT', 0.3832211494445801, 14.079, 0.088203, 3.526488853822e-06, (2, 3))","('UNSAT', 0.07827520370483398, -1, -1, -1, (2, 3))","('UNSAT', 0.09547686576843262, -1, -1, -1, (2, 3))"
(3X3),"('SAT', 0.9249856472015381, 32.3817, 0.084862, 7.297981937882e-06, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.6507413387298584, 28.158, 0.124371, 7.309221018658999e-06, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.9017984867095947, 34.2589, 0.11927, 8.608627467765e-06, (3, 3))","('SAT', 0.6527934074401855, 21.5878, 0.091699, 5.12470751346e-06, (3, 3))","('SAT', 0.949256181716919, 33.3203, 0.10304, 7.537616056652e-06, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14563703536987305, -1, -1, -1, (3, 3))","('UNSAT', 0.06027579307556152, -1, -1, -1, (3, 3))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.12232518196105957, -1, -1, -1, (4, 3))","('UNSAT', 0.045354366302490234, -1, -1, -1, (4, 3))"
(5X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1238107681274414, -1, -1, -1, (5, 3))","('UNSAT', 0.04451107978820801, -1, -1, -1, (5, 3))"
(6X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.12414383888244629, -1, -1, -1, (6, 3))","('UNSAT', 0.04276442527770996, -1, -1, -1, (6, 3))"
