iterations,1,2,3,4,5,6,7,8,9,10
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.08818507194519043, -1, -1, -1, (0, 1))","('UNSAT', 0.0332338809967041, -1, -1, -1, (0, 1))","('UNSAT', 0.03029322624206543, -1, -1, -1, (0, 1))","('UNSAT', 0.030236005783081055, -1, -1, -1, (0, 1))","('UNSAT', 0.03060460090637207, -1, -1, -1, (0, 1))","('UNSAT', 0.030323505401611328, -1, -1, -1, (0, 1))","('UNSAT', 0.03007960319519043, -1, -1, -1, (0, 1))","('UNSAT', 0.030539989471435547, -1, -1, -1, (0, 1))","('UNSAT', 0.03034377098083496, -1, -1, -1, (0, 1))","('UNSAT', 0.03130674362182617, -1, -1, -1, (0, 1))"
(1X1),"('SAT', 87.18161535263062, 47.3993, 0.171782, 2.0296196453270003e-05, (1, 1))","('SAT', 79.90375518798828, 36.1361, 0.171782, 1.443576547899e-05, (1, 1))","('UNSAT', 0.03056025505065918, -1, -1, -1, (1, 1))","('UNSAT', 0.03072333335876465, -1, -1, -1, (1, 1))","('UNSAT', 0.03128242492675781, -1, -1, -1, (1, 1))","('UNSAT', 0.03056168556213379, -1, -1, -1, (1, 1))","('UNSAT', 0.03085041046142578, -1, -1, -1, (1, 1))","('UNSAT', 0.03140377998352051, -1, -1, -1, (1, 1))","('UNSAT', 0.03076457977294922, -1, -1, -1, (1, 1))","('UNSAT', 0.03349566459655762, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03244519233703613, -1, -1, -1, (2, 1))","('UNSAT', 0.031383514404296875, -1, -1, -1, (2, 1))","('UNSAT', 0.031233787536621094, -1, -1, -1, (2, 1))","('UNSAT', 0.03125333786010742, -1, -1, -1, (2, 1))","('UNSAT', 0.032724618911743164, -1, -1, -1, (2, 1))","('UNSAT', 0.03176259994506836, -1, -1, -1, (2, 1))","('UNSAT', 0.032535552978515625, -1, -1, -1, (2, 1))","('UNSAT', 0.031328439712524414, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03990006446838379, -1, -1, -1, (3, 1))","('UNSAT', 0.031010150909423828, -1, -1, -1, (3, 1))","('UNSAT', 0.03132510185241699, -1, -1, -1, (3, 1))","('UNSAT', 0.030696392059326172, -1, -1, -1, (3, 1))","('UNSAT', 0.04338264465332031, -1, -1, -1, (3, 1))","('UNSAT', 0.03234672546386719, -1, -1, -1, (3, 1))","('UNSAT', 0.032335758209228516, -1, -1, -1, (3, 1))","('UNSAT', 0.031098127365112305, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.030729055404663086, -1, -1, -1, (4, 1))","('UNSAT', 0.030960559844970703, -1, -1, -1, (4, 1))","('UNSAT', 0.0314936637878418, -1, -1, -1, (4, 1))","('UNSAT', 0.03250765800476074, -1, -1, -1, (4, 1))","('UNSAT', 0.03061509132385254, -1, -1, -1, (4, 1))","('UNSAT', 0.03152179718017578, -1, -1, -1, (4, 1))","('UNSAT', 0.031027793884277344, -1, -1, -1, (4, 1))","('UNSAT', 0.05283999443054199, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.030747652053833008, -1, -1, -1, (5, 1))","('UNSAT', 0.030924320220947266, -1, -1, -1, (5, 1))","('UNSAT', 0.031131267547607422, -1, -1, -1, (5, 1))","('UNSAT', 0.031073808670043945, -1, -1, -1, (5, 1))","('UNSAT', 0.030872821807861328, -1, -1, -1, (5, 1))","('UNSAT', 0.03140521049499512, -1, -1, -1, (5, 1))","('UNSAT', 0.030915498733520508, -1, -1, -1, (5, 1))","('UNSAT', 0.031646728515625, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.0309603214263916, -1, -1, -1, (6, 1))","('UNSAT', 0.03098320960998535, -1, -1, -1, (6, 1))","('UNSAT', 0.03264784812927246, -1, -1, -1, (6, 1))","('UNSAT', 0.03052544593811035, -1, -1, -1, (6, 1))","('UNSAT', 0.030713319778442383, -1, -1, -1, (6, 1))","('UNSAT', 0.0313265323638916, -1, -1, -1, (6, 1))","('UNSAT', 0.030936241149902344, -1, -1, -1, (6, 1))","('UNSAT', 0.031059980392456055, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03078007698059082, -1, -1, -1, (7, 1))","('UNSAT', 0.03280806541442871, -1, -1, -1, (7, 1))","('UNSAT', 0.030941009521484375, -1, -1, -1, (7, 1))","('UNSAT', 0.0309145450592041, -1, -1, -1, (7, 1))","('UNSAT', 0.031154870986938477, -1, -1, -1, (7, 1))","('UNSAT', 0.031375885009765625, -1, -1, -1, (7, 1))","('UNSAT', 0.030843019485473633, -1, -1, -1, (7, 1))","('UNSAT', 0.031574249267578125, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03094339370727539, -1, -1, -1, (8, 1))","('UNSAT', 0.03105783462524414, -1, -1, -1, (8, 1))","('UNSAT', 0.03084588050842285, -1, -1, -1, (8, 1))","('UNSAT', 0.030938148498535156, -1, -1, -1, (8, 1))","('UNSAT', 0.03061223030090332, -1, -1, -1, (8, 1))","('UNSAT', 0.03129148483276367, -1, -1, -1, (8, 1))","('UNSAT', 0.030980587005615234, -1, -1, -1, (8, 1))","('UNSAT', 0.03165078163146973, -1, -1, -1, (8, 1))"
