iterations,1,2,3,4,5,6,7,8,9,10
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 83.9009370803833, 37.544, 0.11319, 1.4433423530140001e-05, (0, 1))","('SAT', 70.00427985191345, 21.5878, 0.11319, 7.955382898217e-06, (0, 1))","('UNSAT', 0.025630712509155273, -1, -1, -1, (0, 1))","('UNSAT', 0.024497270584106445, -1, -1, -1, (0, 1))","('UNSAT', 0.024181127548217773, -1, -1, -1, (0, 1))","('UNSAT', 0.024007797241210938, -1, -1, -1, (0, 1))","('UNSAT', 0.023769140243530273, -1, -1, -1, (0, 1))","('UNSAT', 0.02391219139099121, -1, -1, -1, (0, 1))","('UNSAT', 0.024077415466308594, -1, -1, -1, (0, 1))","('UNSAT', 0.02515268325805664, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.3381214141845703, -1, -1, -1, (1, 1))","('UNSAT', 0.39827537536621094, -1, -1, -1, (1, 1))","('UNSAT', 0.3988533020019531, -1, -1, -1, (1, 1))","('UNSAT', 0.39905714988708496, -1, -1, -1, (1, 1))","('UNSAT', 0.3973093032836914, -1, -1, -1, (1, 1))","('UNSAT', 0.4179050922393799, -1, -1, -1, (1, 1))","('UNSAT', 0.400388240814209, -1, -1, -1, (1, 1))","('UNSAT', 0.39874887466430664, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 60.63656806945801, 10.7939, 0.040836, 2.269565129609e-06, (2, 1))","('UNSAT', 2.1948659420013428, -1, -1, -1, (2, 1))","('UNSAT', 2.1755566596984863, -1, -1, -1, (2, 1))","('UNSAT', 2.1827950477600098, -1, -1, -1, (2, 1))","('UNSAT', 2.2039477825164795, -1, -1, -1, (2, 1))","('UNSAT', 2.1848249435424805, -1, -1, -1, (2, 1))","('UNSAT', 2.197704315185547, -1, -1, -1, (2, 1))","('UNSAT', 2.196398973464966, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.8358745574951172, -1, -1, -1, (3, 1))","('UNSAT', 1.8433482646942139, -1, -1, -1, (3, 1))","('UNSAT', 1.8294548988342285, -1, -1, -1, (3, 1))","('UNSAT', 1.8410108089447021, -1, -1, -1, (3, 1))","('UNSAT', 1.82350754737854, -1, -1, -1, (3, 1))","('UNSAT', 1.8360998630523682, -1, -1, -1, (3, 1))","('UNSAT', 1.835339069366455, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.589836120605469, -1, -1, -1, (4, 1))","('UNSAT', 4.580352306365967, -1, -1, -1, (4, 1))","('UNSAT', 4.5782952308654785, -1, -1, -1, (4, 1))","('UNSAT', 4.5939483642578125, -1, -1, -1, (4, 1))","('UNSAT', 4.556025743484497, -1, -1, -1, (4, 1))","('UNSAT', 4.62641167640686, -1, -1, -1, (4, 1))","('UNSAT', 4.607548713684082, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.8390328884124756, -1, -1, -1, (5, 1))","('UNSAT', 1.836888313293457, -1, -1, -1, (5, 1))","('UNSAT', 1.8429300785064697, -1, -1, -1, (5, 1))","('UNSAT', 1.8291265964508057, -1, -1, -1, (5, 1))","('UNSAT', 1.8122713565826416, -1, -1, -1, (5, 1))","('UNSAT', 1.850135326385498, -1, -1, -1, (5, 1))","('UNSAT', 1.8314976692199707, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.8393568992614746, -1, -1, -1, (6, 1))","('UNSAT', 1.8452186584472656, -1, -1, -1, (6, 1))","('UNSAT', 1.8482742309570312, -1, -1, -1, (6, 1))","('UNSAT', 1.8364996910095215, -1, -1, -1, (6, 1))","('UNSAT', 1.8078320026397705, -1, -1, -1, (6, 1))","('UNSAT', 1.8503639698028564, -1, -1, -1, (6, 1))","('UNSAT', 1.8639819622039795, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.8314321041107178, -1, -1, -1, (7, 1))","('UNSAT', 1.8244988918304443, -1, -1, -1, (7, 1))","('UNSAT', 1.8395230770111084, -1, -1, -1, (7, 1))","('UNSAT', 1.8293538093566895, -1, -1, -1, (7, 1))","('UNSAT', 1.8339614868164062, -1, -1, -1, (7, 1))","('UNSAT', 1.8469727039337158, -1, -1, -1, (7, 1))","('UNSAT', 1.8233249187469482, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.6003918647766113, -1, -1, -1, (8, 1))","('UNSAT', 1.5807561874389648, -1, -1, -1, (8, 1))","('UNSAT', 1.6263213157653809, -1, -1, -1, (8, 1))","('UNSAT', 1.5918200016021729, -1, -1, -1, (8, 1))","('UNSAT', 1.6078343391418457, -1, -1, -1, (8, 1))","('UNSAT', 1.610718011856079, -1, -1, -1, (8, 1))","('UNSAT', 1.596053123474121, -1, -1, -1, (8, 1))"
(9X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.822969675064087, -1, -1, -1, (9, 1))","('UNSAT', 1.8386790752410889, -1, -1, -1, (9, 1))","('UNSAT', 1.8198597431182861, -1, -1, -1, (9, 1))","('UNSAT', 1.8303472995758057, -1, -1, -1, (9, 1))","('UNSAT', 1.823319911956787, -1, -1, -1, (9, 1))","('UNSAT', 1.8462018966674805, -1, -1, -1, (9, 1))","('UNSAT', 1.8518788814544678, -1, -1, -1, (9, 1))"
(10X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.8385043144226074, -1, -1, -1, (10, 1))","('UNSAT', 1.8159005641937256, -1, -1, -1, (10, 1))","('UNSAT', 1.8488285541534424, -1, -1, -1, (10, 1))","('UNSAT', 1.8346889019012451, -1, -1, -1, (10, 1))","('UNSAT', 1.825178861618042, -1, -1, -1, (10, 1))","('UNSAT', 1.8362479209899902, -1, -1, -1, (10, 1))","('UNSAT', 1.8249430656433105, -1, -1, -1, (10, 1))"
