iterations,1,2,3,4,5,6,7,8,9,10
(9X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.044017791748046875, -1, -1, -1, (9, 1))","('UNSAT', 0.07694053649902344, -1, -1, -1, (9, 1))","('UNSAT', 0.07544922828674316, -1, -1, -1, (9, 1))","('UNSAT', 0.0768589973449707, -1, -1, -1, (9, 1))","('UNSAT', 0.07644391059875488, -1, -1, -1, (9, 1))","('UNSAT', 0.07672262191772461, -1, -1, -1, (9, 1))","('UNSAT', 0.08223915100097656, -1, -1, -1, (9, 1))","('UNSAT', 0.07494807243347168, -1, -1, -1, (9, 1))"
(10X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04414105415344238, -1, -1, -1, (10, 1))","('UNSAT', 0.0764467716217041, -1, -1, -1, (10, 1))","('UNSAT', 0.07458853721618652, -1, -1, -1, (10, 1))","('UNSAT', 0.0762176513671875, -1, -1, -1, (10, 1))","('UNSAT', 0.07592320442199707, -1, -1, -1, (10, 1))","('UNSAT', 0.0756831169128418, -1, -1, -1, (10, 1))","('UNSAT', 0.07583761215209961, -1, -1, -1, (10, 1))","('UNSAT', 0.07848453521728516, -1, -1, -1, (10, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03391289710998535, -1, -1, -1, (1, 2))","('UNSAT', 0.03370857238769531, -1, -1, -1, (1, 2))","('UNSAT', 0.03540825843811035, -1, -1, -1, (1, 2))","('UNSAT', 0.03367900848388672, -1, -1, -1, (1, 2))","('UNSAT', 0.033594608306884766, -1, -1, -1, (1, 2))","('UNSAT', 0.03402090072631836, -1, -1, -1, (1, 2))","('UNSAT', 0.03406643867492676, -1, -1, -1, (1, 2))","('UNSAT', 0.03444170951843262, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.9931802749633789, -1, -1, -1, (2, 2))","('UNSAT', 3.045220136642456, -1, -1, -1, (2, 2))","('UNSAT', 3.045423984527588, -1, -1, -1, (2, 2))","('UNSAT', 3.027362108230591, -1, -1, -1, (2, 2))","('UNSAT', 3.0715813636779785, -1, -1, -1, (2, 2))","('UNSAT', 3.0343360900878906, -1, -1, -1, (2, 2))","('UNSAT', 3.0074617862701416, -1, -1, -1, (2, 2))","('UNSAT', 3.040905714035034, -1, -1, -1, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4202282428741455, -1, -1, -1, (3, 2))","('UNSAT', 0.9939050674438477, -1, -1, -1, (3, 2))","('UNSAT', 0.9840502738952637, -1, -1, -1, (3, 2))","('UNSAT', 0.9918570518493652, -1, -1, -1, (3, 2))","('UNSAT', 1.0036017894744873, -1, -1, -1, (3, 2))","('UNSAT', 0.9811151027679443, -1, -1, -1, (3, 2))","('UNSAT', 0.9877700805664062, -1, -1, -1, (3, 2))","('UNSAT', 0.9754447937011719, -1, -1, -1, (3, 2))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.42655229568481445, -1, -1, -1, (4, 2))","('UNSAT', 0.981346845626831, -1, -1, -1, (4, 2))","('UNSAT', 0.9804954528808594, -1, -1, -1, (4, 2))","('UNSAT', 0.9765374660491943, -1, -1, -1, (4, 2))","('UNSAT', 0.9995303153991699, -1, -1, -1, (4, 2))","('UNSAT', 0.9900949001312256, -1, -1, -1, (4, 2))","('UNSAT', 0.9685261249542236, -1, -1, -1, (4, 2))","('UNSAT', 0.996891975402832, -1, -1, -1, (4, 2))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4259958267211914, -1, -1, -1, (5, 2))","('UNSAT', 0.9973099231719971, -1, -1, -1, (5, 2))","('UNSAT', 0.983100414276123, -1, -1, -1, (5, 2))","('UNSAT', 1.011854648590088, -1, -1, -1, (5, 2))","('UNSAT', 0.9851357936859131, -1, -1, -1, (5, 2))","('UNSAT', 0.9663197994232178, -1, -1, -1, (5, 2))","('UNSAT', 0.9875407218933105, -1, -1, -1, (5, 2))","('UNSAT', 0.9825036525726318, -1, -1, -1, (5, 2))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.454190731048584, -1, -1, -1, (6, 2))","('UNSAT', 0.9716496467590332, -1, -1, -1, (6, 2))","('UNSAT', 0.9696762561798096, -1, -1, -1, (6, 2))","('UNSAT', 0.949195146560669, -1, -1, -1, (6, 2))","('UNSAT', 0.9995837211608887, -1, -1, -1, (6, 2))","('UNSAT', 1.0131614208221436, -1, -1, -1, (6, 2))","('UNSAT', 0.9722111225128174, -1, -1, -1, (6, 2))","('UNSAT', 0.988478422164917, -1, -1, -1, (6, 2))"
(7X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.42768025398254395, -1, -1, -1, (7, 2))","('UNSAT', 0.9878139495849609, -1, -1, -1, (7, 2))","('UNSAT', 0.9847583770751953, -1, -1, -1, (7, 2))","('UNSAT', 0.9698920249938965, -1, -1, -1, (7, 2))","('UNSAT', 0.9817667007446289, -1, -1, -1, (7, 2))","('UNSAT', 0.974151611328125, -1, -1, -1, (7, 2))","('UNSAT', 0.9943516254425049, -1, -1, -1, (7, 2))","('UNSAT', 0.975529670715332, -1, -1, -1, (7, 2))"
(8X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4251837730407715, -1, -1, -1, (8, 2))","('UNSAT', 0.9660577774047852, -1, -1, -1, (8, 2))","('UNSAT', 0.9817380905151367, -1, -1, -1, (8, 2))","('UNSAT', 0.990593433380127, -1, -1, -1, (8, 2))","('UNSAT', 0.9986302852630615, -1, -1, -1, (8, 2))","('UNSAT', 0.9929244518280029, -1, -1, -1, (8, 2))","('UNSAT', 0.9690141677856445, -1, -1, -1, (8, 2))","('UNSAT', 0.9837467670440674, -1, -1, -1, (8, 2))"
