iterations,1,2,3,4,5,6,7,8,9
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.08047294616699219, -1, -1, -1, (0, 1))","('UNSAT', 6.853723049163818, -1, -1, -1, (0, 1))","('UNSAT', 0.054389238357543945, -1, -1, -1, (0, 1))","('UNSAT', 0.052881717681884766, -1, -1, -1, (0, 1))","('UNSAT', 0.054854631423950195, -1, -1, -1, (0, 1))","('UNSAT', 0.05369091033935547, -1, -1, -1, (0, 1))","('UNSAT', 0.05498147010803223, -1, -1, -1, (0, 1))","('UNSAT', 0.053235769271850586, -1, -1, -1, (0, 1))","('UNSAT', 0.05427145957946777, -1, -1, -1, (0, 1))"
(1X1),"('SAT', 35.024423360824585, 85.4126, 0.376738, 3.7733658246000004e-05, (1, 1))","('SAT', 31.519365787506104, 73.6801, 0.357798, 2.6681167582860004e-05, (1, 1))","('UNSAT', 0.06465673446655273, -1, -1, -1, (1, 1))","('UNSAT', 0.09969615936279297, -1, -1, -1, (1, 1))","('UNSAT', 0.06445789337158203, -1, -1, -1, (1, 1))","('UNSAT', 0.09921002388000488, -1, -1, -1, (1, 1))","('UNSAT', 0.0648503303527832, -1, -1, -1, (1, 1))","('UNSAT', 0.10182356834411621, -1, -1, -1, (1, 1))","('UNSAT', 0.06425714492797852, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06518793106079102, -1, -1, -1, (2, 1))","('UNSAT', 0.552283763885498, -1, -1, -1, (2, 1))","('UNSAT', 0.06468582153320312, -1, -1, -1, (2, 1))","('UNSAT', 0.5413932800292969, -1, -1, -1, (2, 1))","('UNSAT', 0.06426715850830078, -1, -1, -1, (2, 1))","('UNSAT', 0.5636019706726074, -1, -1, -1, (2, 1))","('UNSAT', 0.06525993347167969, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06549763679504395, -1, -1, -1, (3, 1))","('UNSAT', 0.5595192909240723, -1, -1, -1, (3, 1))","('UNSAT', 0.06525754928588867, -1, -1, -1, (3, 1))","('UNSAT', 0.5635297298431396, -1, -1, -1, (3, 1))","('UNSAT', 0.06498908996582031, -1, -1, -1, (3, 1))","('UNSAT', 0.5616121292114258, -1, -1, -1, (3, 1))","('UNSAT', 0.06501102447509766, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06552791595458984, -1, -1, -1, (4, 1))","('UNSAT', 0.5589418411254883, -1, -1, -1, (4, 1))","('UNSAT', 0.06591939926147461, -1, -1, -1, (4, 1))","('UNSAT', 0.5806291103363037, -1, -1, -1, (4, 1))","('UNSAT', 0.0645604133605957, -1, -1, -1, (4, 1))","('UNSAT', 0.5684428215026855, -1, -1, -1, (4, 1))","('UNSAT', 0.06495070457458496, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06474518775939941, -1, -1, -1, (5, 1))","('UNSAT', 0.5694022178649902, -1, -1, -1, (5, 1))","('UNSAT', 0.06765532493591309, -1, -1, -1, (5, 1))","('UNSAT', 0.57491135597229, -1, -1, -1, (5, 1))","('UNSAT', 0.06502532958984375, -1, -1, -1, (5, 1))","('UNSAT', 0.559424877166748, -1, -1, -1, (5, 1))","('UNSAT', 0.0644071102142334, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06496524810791016, -1, -1, -1, (6, 1))","('UNSAT', 0.5581262111663818, -1, -1, -1, (6, 1))","('UNSAT', 0.06727099418640137, -1, -1, -1, (6, 1))","('UNSAT', 0.5624454021453857, -1, -1, -1, (6, 1))","('UNSAT', 0.06464052200317383, -1, -1, -1, (6, 1))","('UNSAT', 0.5536506175994873, -1, -1, -1, (6, 1))","('UNSAT', 0.06419658660888672, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06491494178771973, -1, -1, -1, (7, 1))","('UNSAT', 0.5683896541595459, -1, -1, -1, (7, 1))","('UNSAT', 0.06421852111816406, -1, -1, -1, (7, 1))","('UNSAT', 0.5716962814331055, -1, -1, -1, (7, 1))","('UNSAT', 0.06525874137878418, -1, -1, -1, (7, 1))","('UNSAT', 0.5467441082000732, -1, -1, -1, (7, 1))","('UNSAT', 0.06624031066894531, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06501102447509766, -1, -1, -1, (8, 1))","('UNSAT', 0.5652356147766113, -1, -1, -1, (8, 1))","('UNSAT', 0.06470990180969238, -1, -1, -1, (8, 1))","('UNSAT', 0.565298318862915, -1, -1, -1, (8, 1))","('UNSAT', 0.06475257873535156, -1, -1, -1, (8, 1))","('UNSAT', 0.5595343112945557, -1, -1, -1, (8, 1))","('UNSAT', 0.06550836563110352, -1, -1, -1, (8, 1))"
