iterations,1,2,3,4,5,6,7,8,9,10
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 100.63673329353333, 37.544, 0.11319, 1.4433423530140001e-05, (0, 1))","('SAT', 83.92871975898743, 21.5878, 0.11319, 7.955382898217e-06, (0, 1))","('UNSAT', 0.0270841121673584, -1, -1, -1, (0, 1))","('UNSAT', 0.026080846786499023, -1, -1, -1, (0, 1))","('UNSAT', 0.02707386016845703, -1, -1, -1, (0, 1))","('UNSAT', 0.02655196189880371, -1, -1, -1, (0, 1))","('UNSAT', 0.02611565589904785, -1, -1, -1, (0, 1))","('UNSAT', 0.025960206985473633, -1, -1, -1, (0, 1))","('UNSAT', 0.024795055389404297, -1, -1, -1, (0, 1))","('UNSAT', 0.024910926818847656, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1121518611907959, -1, -1, -1, (1, 1))","('UNSAT', 0.04822945594787598, -1, -1, -1, (1, 1))","('UNSAT', 0.04717683792114258, -1, -1, -1, (1, 1))","('UNSAT', 0.0477294921875, -1, -1, -1, (1, 1))","('UNSAT', 0.046378374099731445, -1, -1, -1, (1, 1))","('UNSAT', 0.047344207763671875, -1, -1, -1, (1, 1))","('UNSAT', 0.04427146911621094, -1, -1, -1, (1, 1))","('UNSAT', 0.04439139366149902, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.18344473838806152, -1, -1, -1, (2, 1))","('UNSAT', 0.08475995063781738, -1, -1, -1, (2, 1))","('UNSAT', 0.08647418022155762, -1, -1, -1, (2, 1))","('UNSAT', 0.08551692962646484, -1, -1, -1, (2, 1))","('UNSAT', 0.08301520347595215, -1, -1, -1, (2, 1))","('UNSAT', 0.08421587944030762, -1, -1, -1, (2, 1))","('UNSAT', 0.08321189880371094, -1, -1, -1, (2, 1))","('UNSAT', 0.07788348197937012, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 18.247244596481323, -1, -1, -1, (3, 1))","('UNSAT', 20.931127309799194, -1, -1, -1, (3, 1))","('UNSAT', 20.517992973327637, -1, -1, -1, (3, 1))","('UNSAT', 20.40030813217163, -1, -1, -1, (3, 1))","('UNSAT', 20.298904180526733, -1, -1, -1, (3, 1))","('UNSAT', 20.01782751083374, -1, -1, -1, (3, 1))","('UNSAT', 19.293281316757202, -1, -1, -1, (3, 1))","('UNSAT', 19.3430495262146, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 12.107428789138794, -1, -1, -1, (4, 1))","('UNSAT', 10.246234655380249, -1, -1, -1, (4, 1))","('UNSAT', 10.048434019088745, -1, -1, -1, (4, 1))","('UNSAT', 10.11563754081726, -1, -1, -1, (4, 1))","('UNSAT', 9.967212438583374, -1, -1, -1, (4, 1))","('UNSAT', 9.433633089065552, -1, -1, -1, (4, 1))","('UNSAT', 9.42397427558899, -1, -1, -1, (4, 1))","('UNSAT', 9.484958410263062, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 18.378135681152344, -1, -1, -1, (5, 1))","('UNSAT', 20.916804313659668, -1, -1, -1, (5, 1))","('UNSAT', 20.422288417816162, -1, -1, -1, (5, 1))","('UNSAT', 20.452606201171875, -1, -1, -1, (5, 1))","('UNSAT', 20.4778048992157, -1, -1, -1, (5, 1))","('UNSAT', 19.333316802978516, -1, -1, -1, (5, 1))","('UNSAT', 19.321497917175293, -1, -1, -1, (5, 1))","('UNSAT', 19.40195107460022, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 18.338253259658813, -1, -1, -1, (6, 1))","('UNSAT', 20.985191345214844, -1, -1, -1, (6, 1))","('UNSAT', 20.487070322036743, -1, -1, -1, (6, 1))","('UNSAT', 20.370287656784058, -1, -1, -1, (6, 1))","('UNSAT', 19.86721420288086, -1, -1, -1, (6, 1))","('UNSAT', 19.247057914733887, -1, -1, -1, (6, 1))","('UNSAT', 19.394938468933105, -1, -1, -1, (6, 1))","('UNSAT', 19.512581825256348, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 18.38577103614807, -1, -1, -1, (7, 1))","('UNSAT', 20.941781997680664, -1, -1, -1, (7, 1))","('UNSAT', 20.2958722114563, -1, -1, -1, (7, 1))","('UNSAT', 21.311718702316284, -1, -1, -1, (7, 1))","('UNSAT', 20.63144278526306, -1, -1, -1, (7, 1))","('UNSAT', 19.26105308532715, -1, -1, -1, (7, 1))","('UNSAT', 19.26472306251526, -1, -1, -1, (7, 1))","('UNSAT', 19.317801237106323, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 12.161470890045166, -1, -1, -1, (8, 1))","('UNSAT', 10.322821140289307, -1, -1, -1, (8, 1))","('UNSAT', 10.084351778030396, -1, -1, -1, (8, 1))","('UNSAT', 10.359236240386963, -1, -1, -1, (8, 1))","('UNSAT', 10.09303331375122, -1, -1, -1, (8, 1))","('UNSAT', 9.515027046203613, -1, -1, -1, (8, 1))","('UNSAT', 9.489369630813599, -1, -1, -1, (8, 1))","('UNSAT', 9.495445728302002, -1, -1, -1, (8, 1))"
