iterations,1,2,3,4,5,6
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.024877071380615234, -1, -1, -1, (0, 1))","('UNSAT', 0.02435898780822754, -1, -1, -1, (0, 1))","('UNSAT', 0.024974584579467773, -1, -1, -1, (0, 1))","('UNSAT', 0.024505138397216797, -1, -1, -1, (0, 1))","('UNSAT', 0.024888277053833008, -1, -1, -1, (0, 1))","('UNSAT', 0.043303489685058594, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.034906625747680664, -1, -1, -1, (1, 1))","('UNSAT', 0.03462982177734375, -1, -1, -1, (1, 1))","('UNSAT', 0.03315114974975586, -1, -1, -1, (1, 1))","('UNSAT', 0.03381633758544922, -1, -1, -1, (1, 1))","('UNSAT', 0.034122467041015625, -1, -1, -1, (1, 1))","('UNSAT', 0.03414106369018555, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.03386259078979492, -1, -1, -1, (2, 1))","('UNSAT', 0.033711910247802734, -1, -1, -1, (2, 1))","('UNSAT', 0.033083200454711914, -1, -1, -1, (2, 1))","('UNSAT', 0.03563570976257324, -1, -1, -1, (2, 1))","('UNSAT', 0.03352022171020508, -1, -1, -1, (2, 1))","('UNSAT', 0.03423476219177246, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.03531312942504883, -1, -1, -1, (3, 1))","('UNSAT', 0.034191131591796875, -1, -1, -1, (3, 1))","('UNSAT', 0.03316020965576172, -1, -1, -1, (3, 1))","('UNSAT', 0.035394906997680664, -1, -1, -1, (3, 1))","('UNSAT', 0.034024715423583984, -1, -1, -1, (3, 1))","('UNSAT', 0.03381204605102539, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.059325456619262695, -1, -1, -1, (4, 1))","('UNSAT', 0.05776190757751465, -1, -1, -1, (4, 1))","('UNSAT', 0.05969691276550293, -1, -1, -1, (4, 1))","('UNSAT', 0.060175418853759766, -1, -1, -1, (4, 1))","('UNSAT', 0.05947089195251465, -1, -1, -1, (4, 1))","('UNSAT', 0.06981539726257324, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.05781745910644531, -1, -1, -1, (5, 1))","('UNSAT', 0.05924558639526367, -1, -1, -1, (5, 1))","('UNSAT', 0.057427406311035156, -1, -1, -1, (5, 1))","('UNSAT', 0.05954694747924805, -1, -1, -1, (5, 1))","('UNSAT', 0.0607752799987793, -1, -1, -1, (5, 1))","('UNSAT', 0.05839967727661133, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.057472944259643555, -1, -1, -1, (6, 1))","('UNSAT', 0.0593571662902832, -1, -1, -1, (6, 1))","('UNSAT', 0.058139801025390625, -1, -1, -1, (6, 1))","('UNSAT', 0.059502601623535156, -1, -1, -1, (6, 1))","('UNSAT', 0.05809187889099121, -1, -1, -1, (6, 1))","('UNSAT', 0.05828857421875, -1, -1, -1, (6, 1))"
(1X2),"('UNSAT', 0.04518437385559082, -1, -1, -1, (1, 2))","('UNSAT', 0.04556775093078613, -1, -1, -1, (1, 2))","('UNSAT', 0.04539656639099121, -1, -1, -1, (1, 2))","('UNSAT', 0.04641151428222656, -1, -1, -1, (1, 2))","('UNSAT', 0.04375910758972168, -1, -1, -1, (1, 2))","('UNSAT', 0.04656791687011719, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.10101747512817383, -1, -1, -1, (2, 2))","('UNSAT', 0.10501909255981445, -1, -1, -1, (2, 2))","('UNSAT', 0.10119843482971191, -1, -1, -1, (2, 2))","('UNSAT', 0.10637688636779785, -1, -1, -1, (2, 2))","('UNSAT', 0.10506105422973633, -1, -1, -1, (2, 2))","('UNSAT', 0.10550355911254883, -1, -1, -1, (2, 2))"
