cell,iteration,model_id,status,runtime,area,delay,total_power,et,labeling_time,subgraph_extraction,subgraph_inputs,subgraph_outputs,subxpat_phase1,subxpat_phase2
"(0, 1)",1,0,UNSAT,,,,,12,-1,2.3950016498565674,4,2,-1,-1,0.5283768177032471
"(0, 1)",2,0,UNSAT,,,,,12,-1,2.705014705657959,4,2,-1,-1,0.8671483993530273
"(0, 1)",3,0,UNSAT,,,,,12,-1,1.8585796356201172,4,2,-1,-1,0.7419931888580322
"(0, 1)",4,0,UNSAT,,,,,24,-1,1.6017439365386963,4,1,-1,-1,0.7131807804107666
"(0, 1)",5,0,UNSAT,,,,,24,-1,1.4183955192565918,4,1,-1,-1,0.7816765308380127
"(0, 1)",6,0,UNSAT,,,,,36,-1,1.418436050415039,4,2,-1,-1,0.7547662258148193
"(0, 1)",7,0,UNSAT,,,,,36,-1,1.3384099006652832,4,2,-1,-1,0.8070363998413086
"(0, 1)",8,0,UNSAT,,,,,36,-1,0.9520866870880127,4,2,-1,-1,0.7253284454345703
"(0, 1)",9,0,UNSAT,,,,,48,-1,1.3141858577728271,4,2,-1,-1,0.4885404109954834
"(0, 1)",10,0,UNSAT,,,,,48,-1,0.960350751876831,4,2,-1,-1,0.6420309543609619
"(0, 1)",11,0,UNSAT,,,,,60,-1,0.7709181308746338,4,2,-1,-1,0.5547537803649902
"(0, 1)",12,0,UNSAT,,,,,72,-1,1.0333774089813232,4,2,-1,-1,0.5425934791564941
"(1, 1)",1,0,UNSAT,,,,,12,-1,2.3950016498565674,4,2,-1,-1,1.276641607284546
"(1, 1)",2,0,UNSAT,,,,,12,-1,2.705014705657959,4,2,-1,-1,0.9388027191162109
"(1, 1)",3,0,UNSAT,,,,,12,-1,1.8585796356201172,4,2,-1,-1,1.6361286640167236
"(1, 1)",4,0,UNSAT,,,,,24,-1,1.6017439365386963,4,1,-1,-1,0.8872134685516357
"(1, 1)",5,0,UNSAT,,,,,24,-1,1.4183955192565918,4,1,-1,-1,1.067800760269165
"(1, 1)",6,0,UNSAT,,,,,36,-1,1.418436050415039,4,2,-1,-1,0.9761331081390381
"(1, 1)",7,0,UNSAT,,,,,36,-1,1.3384099006652832,4,2,-1,-1,0.6834580898284912
"(1, 1)",8,0,UNSAT,,,,,36,-1,0.9520866870880127,4,2,-1,-1,0.9569933414459229
"(1, 1)",9,0,UNSAT,,,,,48,-1,1.3141858577728271,4,2,-1,-1,1.1230316162109375
"(1, 1)",10,0,UNSAT,,,,,48,-1,0.960350751876831,4,2,-1,-1,0.7390251159667969
"(1, 1)",11,0,UNSAT,,,,,60,-1,0.7709181308746338,4,2,-1,-1,0.687476396560669
"(1, 1)",12,0,UNSAT,,,,,72,-1,1.0333774089813232,4,2,-1,-1,0.7035975456237793
"(2, 1)",1,0,UNSAT,,,,,12,-1,2.3950016498565674,4,2,-1,-1,2.020357608795166
