iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(9X1),"('UNSAT', 0.10634231567382812, -1, -1, -1, (9, 1))","('UNSAT', 0.12410187721252441, -1, -1, -1, (9, 1))","('UNSAT', 0.10538768768310547, -1, -1, -1, (9, 1))","('UNSAT', 0.13319659233093262, -1, -1, -1, (9, 1))","('UNSAT', 0.17441058158874512, -1, -1, -1, (9, 1))","('UNSAT', 0.1273970603942871, -1, -1, -1, (9, 1))","('UNSAT', 0.16656017303466797, -1, -1, -1, (9, 1))","('UNSAT', 0.1277766227722168, -1, -1, -1, (9, 1))","('UNSAT', 0.16675949096679688, -1, -1, -1, (9, 1))","('UNSAT', 0.1292586326599121, -1, -1, -1, (9, 1))","('UNSAT', 0.15812182426452637, -1, -1, -1, (9, 1))","('UNSAT', 0.14031338691711426, -1, -1, -1, (9, 1))","('UNSAT', 0.16129517555236816, -1, -1, -1, (9, 1))","('UNSAT', 0.13711118698120117, -1, -1, -1, (9, 1))","('UNSAT', 0.16652321815490723, -1, -1, -1, (9, 1))","('UNSAT', 0.1270742416381836, -1, -1, -1, (9, 1))","('UNSAT', 0.16569089889526367, -1, -1, -1, (9, 1))","('UNSAT', 0.12662887573242188, -1, -1, -1, (9, 1))","('UNSAT', 0.164567232131958, -1, -1, -1, (9, 1))","('UNSAT', 0.14847779273986816, -1, -1, -1, (9, 1))"
(10X1),"('UNSAT', 0.10647702217102051, -1, -1, -1, (10, 1))","('UNSAT', 0.12574553489685059, -1, -1, -1, (10, 1))","('UNSAT', 0.10547256469726562, -1, -1, -1, (10, 1))","('UNSAT', 0.13280916213989258, -1, -1, -1, (10, 1))","('UNSAT', 0.16591882705688477, -1, -1, -1, (10, 1))","('UNSAT', 0.12708640098571777, -1, -1, -1, (10, 1))","('UNSAT', 0.16696786880493164, -1, -1, -1, (10, 1))","('UNSAT', 0.12735414505004883, -1, -1, -1, (10, 1))","('UNSAT', 0.16958236694335938, -1, -1, -1, (10, 1))","('UNSAT', 0.13000154495239258, -1, -1, -1, (10, 1))","('UNSAT', 0.1558241844177246, -1, -1, -1, (10, 1))","('UNSAT', 0.13929510116577148, -1, -1, -1, (10, 1))","('UNSAT', 0.15861082077026367, -1, -1, -1, (10, 1))","('UNSAT', 0.13730192184448242, -1, -1, -1, (10, 1))","('UNSAT', 0.1661524772644043, -1, -1, -1, (10, 1))","('UNSAT', 0.12844419479370117, -1, -1, -1, (10, 1))","('UNSAT', 0.16559433937072754, -1, -1, -1, (10, 1))","('UNSAT', 0.12494254112243652, -1, -1, -1, (10, 1))","('UNSAT', 0.1640303134918213, -1, -1, -1, (10, 1))","('UNSAT', 0.13141250610351562, -1, -1, -1, (10, 1))"
(1X2),"('UNSAT', 0.12946820259094238, -1, -1, -1, (1, 2))","('UNSAT', 0.12913107872009277, -1, -1, -1, (1, 2))","('UNSAT', 0.641216516494751, -1, -1, -1, (1, 2))","('UNSAT', 0.13438725471496582, -1, -1, -1, (1, 2))","('UNSAT', 0.11153554916381836, -1, -1, -1, (1, 2))","('UNSAT', 0.12680959701538086, -1, -1, -1, (1, 2))","('UNSAT', 0.11153054237365723, -1, -1, -1, (1, 2))","('UNSAT', 0.12871766090393066, -1, -1, -1, (1, 2))","('UNSAT', 0.11393570899963379, -1, -1, -1, (1, 2))","('UNSAT', 0.13342976570129395, -1, -1, -1, (1, 2))","('UNSAT', 0.1075289249420166, -1, -1, -1, (1, 2))","('UNSAT', 0.1381986141204834, -1, -1, -1, (1, 2))","('UNSAT', 0.10886192321777344, -1, -1, -1, (1, 2))","('UNSAT', 0.13988447189331055, -1, -1, -1, (1, 2))","('UNSAT', 0.11100363731384277, -1, -1, -1, (1, 2))","('UNSAT', 0.12960481643676758, -1, -1, -1, (1, 2))","('UNSAT', 0.11108994483947754, -1, -1, -1, (1, 2))","('UNSAT', 0.1269388198852539, -1, -1, -1, (1, 2))","('UNSAT', 0.11062836647033691, -1, -1, -1, (1, 2))","('UNSAT', 0.13272309303283691, -1, -1, -1, (1, 2))"
(2X2),"('SAT', 218.78024101257324, 132.3426, 0.486521, 0.00010873550490940001, (2, 2))","('SAT', 207.6982352733612, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 192.3652138710022, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 202.26728224754333, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 215.26993560791016, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 194.33180475234985, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 209.6969666481018, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 210.3872194290161, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 188.63519144058228, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 203.9515392780304, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 189.60682940483093, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 211.91207551956177, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 195.96219968795776, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 213.6934962272644, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 197.05901503562927, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 206.5689835548401, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 208.23331451416016, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 188.3469214439392, 132.8119, 0.487245, 0.000108809908852, (2, 2))","('SAT', 212.54701495170593, 132.8119, 0.486608, 0.0001087991258828, (2, 2))","('SAT', 196.88857007026672, 132.8119, 0.487245, 0.000108809908852, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(7X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(8X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
