iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(9X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04183816909790039, -1, -1, -1, (9, 1))","('UNSAT', 0.041626691818237305, -1, -1, -1, (9, 1))","('UNSAT', 0.04230332374572754, -1, -1, -1, (9, 1))","('UNSAT', 0.050560712814331055, -1, -1, -1, (9, 1))","('UNSAT', 0.03883767127990723, -1, -1, -1, (9, 1))","('UNSAT', 0.04198575019836426, -1, -1, -1, (9, 1))","('UNSAT', 0.03880643844604492, -1, -1, -1, (9, 1))","('UNSAT', 0.03958868980407715, -1, -1, -1, (9, 1))","('UNSAT', 0.045812129974365234, -1, -1, -1, (9, 1))","('UNSAT', 0.04194450378417969, -1, -1, -1, (9, 1))","('UNSAT', 0.04133200645446777, -1, -1, -1, (9, 1))","('UNSAT', 0.042556047439575195, -1, -1, -1, (9, 1))","('UNSAT', 0.0411992073059082, -1, -1, -1, (9, 1))","('UNSAT', 0.039825439453125, -1, -1, -1, (9, 1))","('UNSAT', 0.04314875602722168, -1, -1, -1, (9, 1))","('UNSAT', 0.04143166542053223, -1, -1, -1, (9, 1))","('UNSAT', 0.04211282730102539, -1, -1, -1, (9, 1))","('UNSAT', 0.040268659591674805, -1, -1, -1, (9, 1))"
(10X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04166102409362793, -1, -1, -1, (10, 1))","('UNSAT', 0.04181528091430664, -1, -1, -1, (10, 1))","('UNSAT', 0.04254317283630371, -1, -1, -1, (10, 1))","('UNSAT', 0.04152989387512207, -1, -1, -1, (10, 1))","('UNSAT', 0.03966093063354492, -1, -1, -1, (10, 1))","('UNSAT', 0.041805267333984375, -1, -1, -1, (10, 1))","('UNSAT', 0.03934884071350098, -1, -1, -1, (10, 1))","('UNSAT', 0.039199113845825195, -1, -1, -1, (10, 1))","('UNSAT', 0.04180097579956055, -1, -1, -1, (10, 1))","('UNSAT', 0.041645050048828125, -1, -1, -1, (10, 1))","('UNSAT', 0.041544437408447266, -1, -1, -1, (10, 1))","('UNSAT', 0.04276227951049805, -1, -1, -1, (10, 1))","('UNSAT', 0.04183030128479004, -1, -1, -1, (10, 1))","('UNSAT', 0.03961825370788574, -1, -1, -1, (10, 1))","('UNSAT', 0.04253816604614258, -1, -1, -1, (10, 1))","('UNSAT', 0.04184079170227051, -1, -1, -1, (10, 1))","('UNSAT', 0.03948497772216797, -1, -1, -1, (10, 1))","('UNSAT', 0.039524078369140625, -1, -1, -1, (10, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.22557830810546875, -1, -1, -1, (1, 2))","('UNSAT', 0.2267756462097168, -1, -1, -1, (1, 2))","('UNSAT', 0.2319507598876953, -1, -1, -1, (1, 2))","('UNSAT', 0.22351956367492676, -1, -1, -1, (1, 2))","('UNSAT', 0.21331024169921875, -1, -1, -1, (1, 2))","('UNSAT', 0.22995305061340332, -1, -1, -1, (1, 2))","('UNSAT', 0.19976449012756348, -1, -1, -1, (1, 2))","('UNSAT', 0.20646142959594727, -1, -1, -1, (1, 2))","('UNSAT', 0.23221540451049805, -1, -1, -1, (1, 2))","('UNSAT', 0.22560715675354004, -1, -1, -1, (1, 2))","('UNSAT', 0.22539854049682617, -1, -1, -1, (1, 2))","('UNSAT', 0.2331070899963379, -1, -1, -1, (1, 2))","('UNSAT', 0.22575712203979492, -1, -1, -1, (1, 2))","('UNSAT', 0.22519922256469727, -1, -1, -1, (1, 2))","('UNSAT', 0.23035979270935059, -1, -1, -1, (1, 2))","('UNSAT', 0.22496604919433594, -1, -1, -1, (1, 2))","('UNSAT', 0.20891809463500977, -1, -1, -1, (1, 2))","('UNSAT', 0.21433138847351074, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 85.07444262504578, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 89.24094676971436, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 85.63597202301025, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 80.97639870643616, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 91.06163787841797, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 79.10679340362549, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 78.0076756477356, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 90.78127813339233, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 93.56847643852234, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 84.23500847816467, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 89.79300332069397, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 90.00850176811218, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 79.42091584205627, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 82.68218040466309, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 89.94046378135681, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 79.93789744377136, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 79.86166834831238, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))","('SAT', 88.94852423667908, 26.2808, 0.11319, 9.397320354765e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(7X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(8X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
