iterations,1,2,3,4,5,6,7,8,9,10,11,12
(3X2),"('UNSAT', 0.13689899444580078, -1, -1, -1, (3, 2))","('UNSAT', 0.31934237480163574, -1, -1, -1, (3, 2))","('UNSAT', 0.18507075309753418, -1, -1, -1, (3, 2))","('UNSAT', 0.07763504981994629, -1, -1, -1, (3, 2))","('UNSAT', 0.055403947830200195, -1, -1, -1, (3, 2))","('UNSAT', 0.1045536994934082, -1, -1, -1, (3, 2))","('UNSAT', 0.048909902572631836, -1, -1, -1, (3, 2))","('UNSAT', 0.10654282569885254, -1, -1, -1, (3, 2))","('UNSAT', 0.10650777816772461, -1, -1, -1, (3, 2))","('UNSAT', 0.04833722114562988, -1, -1, -1, (3, 2))","('UNSAT', 0.04493594169616699, -1, -1, -1, (3, 2))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('UNSAT', 0.17400527000427246, -1, -1, -1, (4, 2))","('UNSAT', 0.3432912826538086, -1, -1, -1, (4, 2))","('UNSAT', 0.2816634178161621, -1, -1, -1, (4, 2))","('UNSAT', 0.12287545204162598, -1, -1, -1, (4, 2))","('UNSAT', 0.09835004806518555, -1, -1, -1, (4, 2))","('UNSAT', 0.10712599754333496, -1, -1, -1, (4, 2))","('UNSAT', 0.08038091659545898, -1, -1, -1, (4, 2))","('UNSAT', 0.0856325626373291, -1, -1, -1, (4, 2))","('UNSAT', 0.11076045036315918, -1, -1, -1, (4, 2))","('UNSAT', 0.10253453254699707, -1, -1, -1, (4, 2))","('UNSAT', 0.09670472145080566, -1, -1, -1, (4, 2))","('Unexplored', None, None, None, None, (-1, -1))"
(5X2),"('UNSAT', 0.13297748565673828, -1, -1, -1, (5, 2))","('UNSAT', 0.32334423065185547, -1, -1, -1, (5, 2))","('UNSAT', 0.26666879653930664, -1, -1, -1, (5, 2))","('UNSAT', 0.12776708602905273, -1, -1, -1, (5, 2))","('UNSAT', 0.08947443962097168, -1, -1, -1, (5, 2))","('UNSAT', 0.10426497459411621, -1, -1, -1, (5, 2))","('UNSAT', 0.10158395767211914, -1, -1, -1, (5, 2))","('UNSAT', 0.10901880264282227, -1, -1, -1, (5, 2))","('UNSAT', 0.1029195785522461, -1, -1, -1, (5, 2))","('UNSAT', 0.056974172592163086, -1, -1, -1, (5, 2))","('UNSAT', 0.060163021087646484, -1, -1, -1, (5, 2))","('Unexplored', None, None, None, None, (-1, -1))"
(6X2),"('UNSAT', 0.13045024871826172, -1, -1, -1, (6, 2))","('UNSAT', 0.2917461395263672, -1, -1, -1, (6, 2))","('UNSAT', 0.20590877532958984, -1, -1, -1, (6, 2))","('UNSAT', 0.11005902290344238, -1, -1, -1, (6, 2))","('UNSAT', 0.1020655632019043, -1, -1, -1, (6, 2))","('UNSAT', 0.1437211036682129, -1, -1, -1, (6, 2))","('UNSAT', 0.1013646125793457, -1, -1, -1, (6, 2))","('UNSAT', 0.11514973640441895, -1, -1, -1, (6, 2))","('UNSAT', 0.12043285369873047, -1, -1, -1, (6, 2))","('UNSAT', 0.062192678451538086, -1, -1, -1, (6, 2))","('UNSAT', 0.05686378479003906, -1, -1, -1, (6, 2))","('Unexplored', None, None, None, None, (-1, -1))"
(1X3),"('UNSAT', 0.0711514949798584, -1, -1, -1, (1, 3))","('UNSAT', 0.12324023246765137, -1, -1, -1, (1, 3))","('UNSAT', 0.09255051612854004, -1, -1, -1, (1, 3))","('UNSAT', 0.05518698692321777, -1, -1, -1, (1, 3))","('UNSAT', 0.04650545120239258, -1, -1, -1, (1, 3))","('UNSAT', 0.0777595043182373, -1, -1, -1, (1, 3))","('UNSAT', 0.03468489646911621, -1, -1, -1, (1, 3))","('UNSAT', 0.03745150566101074, -1, -1, -1, (1, 3))","('UNSAT', 0.06745767593383789, -1, -1, -1, (1, 3))","('UNSAT', 0.05236339569091797, -1, -1, -1, (1, 3))","('UNSAT', 0.05215620994567871, -1, -1, -1, (1, 3))","('Unexplored', None, None, None, None, (-1, -1))"
(2X3),"('UNSAT', 0.13663578033447266, -1, -1, -1, (2, 3))","('UNSAT', 0.34162259101867676, -1, -1, -1, (2, 3))","('UNSAT', 0.38775110244750977, -1, -1, -1, (2, 3))","('SAT', 0.371380090713501, 29.5659, 0.159036, 8.557747605664e-06, (2, 3))","('UNSAT', 0.19944214820861816, -1, -1, -1, (2, 3))","('SAT', 0.3876466751098633, 29.5659, 0.137871, 7.498448212572999e-06, (2, 3))","('UNSAT', 0.18038249015808105, -1, -1, -1, (2, 3))","('UNSAT', 0.15073800086975098, -1, -1, -1, (2, 3))","('SAT', 0.3823249340057373, 29.5659, 0.137871, 7.498448212572999e-06, (2, 3))","('UNSAT', 0.1006917953491211, -1, -1, -1, (2, 3))","('UNSAT', 0.10050559043884277, -1, -1, -1, (2, 3))","('Unexplored', None, None, None, None, (-1, -1))"
(3X3),"('UNSAT', 0.2295520305633545, -1, -1, -1, (3, 3))","('UNSAT', 0.8832037448883057, -1, -1, -1, (3, 3))","('SAT', 0.5667345523834229, 32.851, 0.129672, 9.334332389698999e-06, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.3467843532562256, 34.7282, 0.123679, 9.808261893339999e-06, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.28317689895629883, 28.6273, 0.205726, 8.988116860564e-06, (3, 3))","('UNSAT', 0.17062711715698242, -1, -1, -1, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14016962051391602, -1, -1, -1, (3, 3))","('UNSAT', 0.14069747924804688, -1, -1, -1, (3, 3))","('Unexplored', None, None, None, None, (-1, -1))"
(4X3),"('UNSAT', 0.4572005271911621, -1, -1, -1, (4, 3))","('UNSAT', 0.9482600688934326, -1, -1, -1, (4, 3))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.16311073303222656, -1, -1, -1, (4, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.15921759605407715, -1, -1, -1, (4, 3))","('UNSAT', 0.15848493576049805, -1, -1, -1, (4, 3))","('Unexplored', None, None, None, None, (-1, -1))"
(5X3),"('UNSAT', 0.3454444408416748, -1, -1, -1, (5, 3))","('UNSAT', 0.7228586673736572, -1, -1, -1, (5, 3))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.2129218578338623, -1, -1, -1, (5, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.17137384414672852, -1, -1, -1, (5, 3))","('UNSAT', 0.15871000289916992, -1, -1, -1, (5, 3))","('Unexplored', None, None, None, None, (-1, -1))"
(6X3),"('UNSAT', 0.27351880073547363, -1, -1, -1, (6, 3))","('UNSAT', 0.935117244720459, -1, -1, -1, (6, 3))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.19692301750183105, -1, -1, -1, (6, 3))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.15988469123840332, -1, -1, -1, (6, 3))","('UNSAT', 0.16405367851257324, -1, -1, -1, (6, 3))","('Unexplored', None, None, None, None, (-1, -1))"
