iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
(9X1),"('UNSAT', 7.219037294387817, -1, -1, -1, (9, 1))","('UNSAT', 0.7074527740478516, -1, -1, -1, (9, 1))","('UNSAT', 4.688617944717407, -1, -1, -1, (9, 1))","('UNSAT', 0.4284205436706543, -1, -1, -1, (9, 1))","('UNSAT', 0.4263334274291992, -1, -1, -1, (9, 1))","('UNSAT', 1.305995225906372, -1, -1, -1, (9, 1))","('UNSAT', 1.2868919372558594, -1, -1, -1, (9, 1))","('UNSAT', 0.050440073013305664, -1, -1, -1, (9, 1))","('UNSAT', 1.2077124118804932, -1, -1, -1, (9, 1))","('UNSAT', 0.795978307723999, -1, -1, -1, (9, 1))","('UNSAT', 0.5870857238769531, -1, -1, -1, (9, 1))","('UNSAT', 0.41565585136413574, -1, -1, -1, (9, 1))","('UNSAT', 0.35971546173095703, -1, -1, -1, (9, 1))","('UNSAT', 0.16995453834533691, -1, -1, -1, (9, 1))","('UNSAT', 0.5047342777252197, -1, -1, -1, (9, 1))","('UNSAT', 0.4402499198913574, -1, -1, -1, (9, 1))","('UNSAT', 1.2687747478485107, -1, -1, -1, (9, 1))","('UNSAT', 3.045626640319824, -1, -1, -1, (9, 1))"
(1X2),"('UNSAT', 0.7920985221862793, -1, -1, -1, (1, 2))","('UNSAT', 0.16496062278747559, -1, -1, -1, (1, 2))","('UNSAT', 0.08079743385314941, -1, -1, -1, (1, 2))","('UNSAT', 0.3447380065917969, -1, -1, -1, (1, 2))","('UNSAT', 0.2459392547607422, -1, -1, -1, (1, 2))","('UNSAT', 0.12445473670959473, -1, -1, -1, (1, 2))","('UNSAT', 0.21206879615783691, -1, -1, -1, (1, 2))","('UNSAT', 0.9608838558197021, -1, -1, -1, (1, 2))","('UNSAT', 0.35323262214660645, -1, -1, -1, (1, 2))","('UNSAT', 0.4523341655731201, -1, -1, -1, (1, 2))","('UNSAT', 1.0231907367706299, -1, -1, -1, (1, 2))","('UNSAT', 0.17090201377868652, -1, -1, -1, (1, 2))","('UNSAT', 0.713184118270874, -1, -1, -1, (1, 2))","('UNSAT', 1.5192933082580566, -1, -1, -1, (1, 2))","('UNSAT', 0.71950364112854, -1, -1, -1, (1, 2))","('UNSAT', 0.2526218891143799, -1, -1, -1, (1, 2))","('UNSAT', 0.6646549701690674, -1, -1, -1, (1, 2))","('UNSAT', 0.6560590267181396, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 3.1882858276367188, -1, -1, -1, (2, 2))","('UNSAT', 9.209580183029175, -1, -1, -1, (2, 2))","('UNSAT', 3.9947123527526855, -1, -1, -1, (2, 2))","('UNSAT', 0.5086381435394287, -1, -1, -1, (2, 2))","('UNSAT', 1.0010173320770264, -1, -1, -1, (2, 2))","('UNSAT', 0.444962739944458, -1, -1, -1, (2, 2))","('UNSAT', 0.4507584571838379, -1, -1, -1, (2, 2))","('UNSAT', 0.5129489898681641, -1, -1, -1, (2, 2))","('UNSAT', 1.0389392375946045, -1, -1, -1, (2, 2))","('UNSAT', 1.6692063808441162, -1, -1, -1, (2, 2))","('UNSAT', 1.3207013607025146, -1, -1, -1, (2, 2))","('UNSAT', 5.24063777923584, -1, -1, -1, (2, 2))","('UNSAT', 0.13643455505371094, -1, -1, -1, (2, 2))","('UNSAT', 0.624448299407959, -1, -1, -1, (2, 2))","('UNSAT', 1.1933419704437256, -1, -1, -1, (2, 2))","('UNSAT', 0.6978452205657959, -1, -1, -1, (2, 2))","('UNSAT', 3.9432613849639893, -1, -1, -1, (2, 2))","('UNSAT', 2.849855422973633, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 12.641847610473633, -1, -1, -1, (3, 2))","('UNSAT', 19.146526098251343, -1, -1, -1, (3, 2))","('UNSAT', 20.029741048812866, -1, -1, -1, (3, 2))","('UNSAT', 6.995245695114136, -1, -1, -1, (3, 2))","('UNSAT', 8.284334182739258, -1, -1, -1, (3, 2))","('UNSAT', 10.084974527359009, -1, -1, -1, (3, 2))","('UNSAT', 9.039180755615234, -1, -1, -1, (3, 2))","('UNSAT', 4.71165919303894, -1, -1, -1, (3, 2))","('UNSAT', 0.9303338527679443, -1, -1, -1, (3, 2))","('UNSAT', 7.6179163455963135, -1, -1, -1, (3, 2))","('UNSAT', 14.279908895492554, -1, -1, -1, (3, 2))","('UNSAT', 16.746119499206543, -1, -1, -1, (3, 2))","('UNSAT', 8.478671550750732, -1, -1, -1, (3, 2))","('UNSAT', 18.48012375831604, -1, -1, -1, (3, 2))","('UNSAT', 0.566251277923584, -1, -1, -1, (3, 2))","('UNSAT', 8.929701566696167, -1, -1, -1, (3, 2))","('UNSAT', 10.752122163772583, -1, -1, -1, (3, 2))","('UNSAT', 8.093289613723755, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 22.106019258499146, -1, -1, -1, (4, 2))","('UNSAT', 18.969881534576416, -1, -1, -1, (4, 2))","('UNSAT', 17.030895471572876, -1, -1, -1, (4, 2))","('UNSAT', 9.977860450744629, -1, -1, -1, (4, 2))","('UNSAT', 9.498479127883911, -1, -1, -1, (4, 2))","('UNSAT', 19.321112155914307, -1, -1, -1, (4, 2))","('UNSAT', 7.958335876464844, -1, -1, -1, (4, 2))","('UNSAT', 14.77265453338623, -1, -1, -1, (4, 2))","('UNSAT', 8.63453197479248, -1, -1, -1, (4, 2))","('UNSAT', 4.495564937591553, -1, -1, -1, (4, 2))","('UNSAT', 15.54853367805481, -1, -1, -1, (4, 2))","('UNSAT', 12.180324077606201, -1, -1, -1, (4, 2))","('UNSAT', 14.61928391456604, -1, -1, -1, (4, 2))","('UNSAT', 13.638375043869019, -1, -1, -1, (4, 2))","('UNSAT', 4.000791549682617, -1, -1, -1, (4, 2))","('UNSAT', 3.8689279556274414, -1, -1, -1, (4, 2))","('UNSAT', 19.43245005607605, -1, -1, -1, (4, 2))","('UNSAT', 11.673962831497192, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 24.84817862510681, -1, -1, -1, (5, 2))","('UNSAT', 20.077288150787354, -1, -1, -1, (5, 2))","('UNSAT', 18.62792944908142, -1, -1, -1, (5, 2))","('UNSAT', 15.972002029418945, -1, -1, -1, (5, 2))","('UNSAT', 16.726288557052612, -1, -1, -1, (5, 2))","('UNSAT', 12.073653936386108, -1, -1, -1, (5, 2))","('UNSAT', 10.45352816581726, -1, -1, -1, (5, 2))","('UNSAT', 9.941405057907104, -1, -1, -1, (5, 2))","('UNSAT', 5.904752492904663, -1, -1, -1, (5, 2))","('UNSAT', 14.69556999206543, -1, -1, -1, (5, 2))","('UNSAT', 16.5680832862854, -1, -1, -1, (5, 2))","('UNSAT', 5.062932014465332, -1, -1, -1, (5, 2))","('UNSAT', 24.80361795425415, -1, -1, -1, (5, 2))","('UNSAT', 6.195544004440308, -1, -1, -1, (5, 2))","('UNSAT', 4.120195388793945, -1, -1, -1, (5, 2))","('UNSAT', 12.840609312057495, -1, -1, -1, (5, 2))","('UNSAT', 5.381812810897827, -1, -1, -1, (5, 2))","('UNSAT', 17.709481477737427, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 26.922738075256348, -1, -1, -1, (6, 2))","('UNSAT', 18.990909099578857, -1, -1, -1, (6, 2))","('UNSAT', 13.057455778121948, -1, -1, -1, (6, 2))","('UNSAT', 6.015984058380127, -1, -1, -1, (6, 2))","('UNSAT', 3.9731292724609375, -1, -1, -1, (6, 2))","('UNSAT', 6.5924975872039795, -1, -1, -1, (6, 2))","('UNSAT', 14.955398797988892, -1, -1, -1, (6, 2))","('UNSAT', 5.176457643508911, -1, -1, -1, (6, 2))","('UNSAT', 9.379515886306763, -1, -1, -1, (6, 2))","('UNSAT', 15.079927444458008, -1, -1, -1, (6, 2))","('UNSAT', 7.200040817260742, -1, -1, -1, (6, 2))","('UNSAT', 11.229665517807007, -1, -1, -1, (6, 2))","('UNSAT', 15.636414527893066, -1, -1, -1, (6, 2))","('UNSAT', 10.723378419876099, -1, -1, -1, (6, 2))","('UNSAT', 3.5576066970825195, -1, -1, -1, (6, 2))","('UNSAT', 5.073984861373901, -1, -1, -1, (6, 2))","('UNSAT', 13.145007133483887, -1, -1, -1, (6, 2))","('UNSAT', 12.040009260177612, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 25.758157968521118, -1, -1, -1, (7, 2))","('UNSAT', 23.942200899124146, -1, -1, -1, (7, 2))","('UNSAT', 18.534056663513184, -1, -1, -1, (7, 2))","('UNSAT', 15.878862380981445, -1, -1, -1, (7, 2))","('UNSAT', 13.715285539627075, -1, -1, -1, (7, 2))","('UNSAT', 5.458190679550171, -1, -1, -1, (7, 2))","('UNSAT', 20.768489837646484, -1, -1, -1, (7, 2))","('UNSAT', 14.9629807472229, -1, -1, -1, (7, 2))","('UNSAT', 6.6751110553741455, -1, -1, -1, (7, 2))","('UNSAT', 8.598430395126343, -1, -1, -1, (7, 2))","('UNSAT', 18.975473642349243, -1, -1, -1, (7, 2))","('UNSAT', 5.994044303894043, -1, -1, -1, (7, 2))","('UNSAT', 4.239193916320801, -1, -1, -1, (7, 2))","('UNSAT', 22.40381097793579, -1, -1, -1, (7, 2))","('UNSAT', 8.387732982635498, -1, -1, -1, (7, 2))","('UNSAT', 13.747204065322876, -1, -1, -1, (7, 2))","('UNSAT', 11.152851581573486, -1, -1, -1, (7, 2))","('UNSAT', 18.175903797149658, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 30.812914848327637, -1, -1, -1, (8, 2))","('UNSAT', 22.003629446029663, -1, -1, -1, (8, 2))","('UNSAT', 6.649096965789795, -1, -1, -1, (8, 2))","('UNSAT', 20.122912883758545, -1, -1, -1, (8, 2))","('UNSAT', 8.344554901123047, -1, -1, -1, (8, 2))","('UNSAT', 12.316871404647827, -1, -1, -1, (8, 2))","('UNSAT', 19.32642889022827, -1, -1, -1, (8, 2))","('UNSAT', 12.271901607513428, -1, -1, -1, (8, 2))","('UNSAT', 10.085416078567505, -1, -1, -1, (8, 2))","('UNSAT', 13.217933416366577, -1, -1, -1, (8, 2))","('UNSAT', 16.492428064346313, -1, -1, -1, (8, 2))","('UNSAT', 9.867837905883789, -1, -1, -1, (8, 2))","('UNSAT', 6.828484773635864, -1, -1, -1, (8, 2))","('UNSAT', 6.224645614624023, -1, -1, -1, (8, 2))","('UNSAT', 5.083789587020874, -1, -1, -1, (8, 2))","('UNSAT', 9.8056058883667, -1, -1, -1, (8, 2))","('UNSAT', 8.875433444976807, -1, -1, -1, (8, 2))","('UNSAT', 10.515766143798828, -1, -1, -1, (8, 2))"
(9X2),"('UNSAT', 27.406094074249268, -1, -1, -1, (9, 2))","('UNSAT', 16.15778136253357, -1, -1, -1, (9, 2))","('UNSAT', 16.156274795532227, -1, -1, -1, (9, 2))","('UNSAT', 6.759518146514893, -1, -1, -1, (9, 2))","('UNSAT', 5.711722373962402, -1, -1, -1, (9, 2))","('UNSAT', 11.367028951644897, -1, -1, -1, (9, 2))","('UNSAT', 11.353671789169312, -1, -1, -1, (9, 2))","('UNSAT', 6.145294666290283, -1, -1, -1, (9, 2))","('UNSAT', 5.987534761428833, -1, -1, -1, (9, 2))","('UNSAT', 9.517298936843872, -1, -1, -1, (9, 2))","('UNSAT', 26.740315675735474, -1, -1, -1, (9, 2))","('UNSAT', 4.174928188323975, -1, -1, -1, (9, 2))","('UNSAT', 8.600884914398193, -1, -1, -1, (9, 2))","('UNSAT', 14.37325644493103, -1, -1, -1, (9, 2))","('UNSAT', 6.938051223754883, -1, -1, -1, (9, 2))","('UNSAT', 10.42078447341919, -1, -1, -1, (9, 2))","('UNSAT', 9.323205471038818, -1, -1, -1, (9, 2))","('UNSAT', 18.629151344299316, -1, -1, -1, (9, 2))"
