iterations,1,2,3,4,5,6
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.023856639862060547, -1, -1, -1, (0, 1))","('UNSAT', 0.015097618103027344, -1, -1, -1, (0, 1))","('UNSAT', 0.015294790267944336, -1, -1, -1, (0, 1))","('UNSAT', 0.015760183334350586, -1, -1, -1, (0, 1))","('UNSAT', 0.015479564666748047, -1, -1, -1, (0, 1))","('UNSAT', 0.015438318252563477, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.02582693099975586, -1, -1, -1, (1, 1))","('UNSAT', 0.015479087829589844, -1, -1, -1, (1, 1))","('UNSAT', 0.01996302604675293, -1, -1, -1, (1, 1))","('UNSAT', 0.016104936599731445, -1, -1, -1, (1, 1))","('UNSAT', 0.015455484390258789, -1, -1, -1, (1, 1))","('UNSAT', 0.015728473663330078, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.02585744857788086, -1, -1, -1, (2, 1))","('UNSAT', 0.020168781280517578, -1, -1, -1, (2, 1))","('UNSAT', 0.019871950149536133, -1, -1, -1, (2, 1))","('UNSAT', 0.020555973052978516, -1, -1, -1, (2, 1))","('UNSAT', 0.020296573638916016, -1, -1, -1, (2, 1))","('UNSAT', 0.020242929458618164, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.017813920974731445, -1, -1, -1, (3, 1))","('UNSAT', 0.019688844680786133, -1, -1, -1, (3, 1))","('UNSAT', 0.019934654235839844, -1, -1, -1, (3, 1))","('UNSAT', 0.019884347915649414, -1, -1, -1, (3, 1))","('UNSAT', 0.020337820053100586, -1, -1, -1, (3, 1))","('UNSAT', 0.019894838333129883, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.0180203914642334, -1, -1, -1, (4, 1))","('UNSAT', 0.01975083351135254, -1, -1, -1, (4, 1))","('UNSAT', 0.01981067657470703, -1, -1, -1, (4, 1))","('UNSAT', 0.020302295684814453, -1, -1, -1, (4, 1))","('UNSAT', 0.02075791358947754, -1, -1, -1, (4, 1))","('UNSAT', 0.02068161964416504, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.017887353897094727, -1, -1, -1, (5, 1))","('UNSAT', 0.019889354705810547, -1, -1, -1, (5, 1))","('UNSAT', 0.019870281219482422, -1, -1, -1, (5, 1))","('UNSAT', 0.02239251136779785, -1, -1, -1, (5, 1))","('UNSAT', 0.020207643508911133, -1, -1, -1, (5, 1))","('UNSAT', 0.021142244338989258, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.017894983291625977, -1, -1, -1, (6, 1))","('UNSAT', 0.01941823959350586, -1, -1, -1, (6, 1))","('UNSAT', 0.02045130729675293, -1, -1, -1, (6, 1))","('UNSAT', 0.020694494247436523, -1, -1, -1, (6, 1))","('UNSAT', 0.0197756290435791, -1, -1, -1, (6, 1))","('UNSAT', 0.020635604858398438, -1, -1, -1, (6, 1))"
(1X2),"('UNSAT', 0.03723621368408203, -1, -1, -1, (1, 2))","('UNSAT', 0.01735091209411621, -1, -1, -1, (1, 2))","('UNSAT', 0.016329526901245117, -1, -1, -1, (1, 2))","('UNSAT', 0.016733646392822266, -1, -1, -1, (1, 2))","('UNSAT', 0.016265153884887695, -1, -1, -1, (1, 2))","('UNSAT', 0.016439199447631836, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.026920080184936523, -1, -1, -1, (2, 2))","('UNSAT', 0.04866647720336914, -1, -1, -1, (2, 2))","('UNSAT', 0.03744196891784668, -1, -1, -1, (2, 2))","('UNSAT', 0.03704214096069336, -1, -1, -1, (2, 2))","('UNSAT', 0.036916255950927734, -1, -1, -1, (2, 2))","('UNSAT', 0.03677654266357422, -1, -1, -1, (2, 2))"
