iterations,1,2,3,4,5,6,7,8,9
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 34.9155752658844, 73.2108, 0.215881, 2.8504347938000003e-05, (0, 1))","('SAT', 27.46656584739685, 48.8072, 0.21446, 1.6860636606e-05, (0, 1))","('UNSAT', 0.23007488250732422, -1, -1, -1, (0, 1))","('UNSAT', 0.08220601081848145, -1, -1, -1, (0, 1))","('UNSAT', 0.4968907833099365, -1, -1, -1, (0, 1))","('UNSAT', 0.06364035606384277, -1, -1, -1, (0, 1))","('UNSAT', 0.3587305545806885, -1, -1, -1, (0, 1))","('UNSAT', 0.34964418411254883, -1, -1, -1, (0, 1))","('UNSAT', 0.35250258445739746, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.31800341606140137, -1, -1, -1, (1, 1))","('UNSAT', 0.6407959461212158, -1, -1, -1, (1, 1))","('UNSAT', 1.1601481437683105, -1, -1, -1, (1, 1))","('SAT', 24.44101881980896, 30.0352, 0.138114, 7.275020379893e-06, (1, 1))","('UNSAT', 8.448906183242798, -1, -1, -1, (1, 1))","('UNSAT', 8.440442085266113, -1, -1, -1, (1, 1))","('UNSAT', 8.366838216781616, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.441861629486084, -1, -1, -1, (2, 1))","('UNSAT', 5.907158613204956, -1, -1, -1, (2, 1))","('UNSAT', 7.5612170696258545, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.69190788269043, -1, -1, -1, (2, 1))","('UNSAT', 4.742237567901611, -1, -1, -1, (2, 1))","('UNSAT', 4.668752908706665, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.474055767059326, -1, -1, -1, (3, 1))","('UNSAT', 2.585362672805786, -1, -1, -1, (3, 1))","('UNSAT', 11.791033506393433, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 9.876462936401367, -1, -1, -1, (3, 1))","('UNSAT', 9.88256287574768, -1, -1, -1, (3, 1))","('UNSAT', 9.98345160484314, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.5381863117218018, -1, -1, -1, (4, 1))","('UNSAT', 2.5768237113952637, -1, -1, -1, (4, 1))","('UNSAT', 8.970884799957275, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 8.644660711288452, -1, -1, -1, (4, 1))","('UNSAT', 8.652842998504639, -1, -1, -1, (4, 1))","('UNSAT', 8.557603120803833, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.5337352752685547, -1, -1, -1, (5, 1))","('UNSAT', 2.5598113536834717, -1, -1, -1, (5, 1))","('UNSAT', 7.545032501220703, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 9.966886520385742, -1, -1, -1, (5, 1))","('UNSAT', 9.882231712341309, -1, -1, -1, (5, 1))","('UNSAT', 9.850345611572266, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.5235657691955566, -1, -1, -1, (6, 1))","('UNSAT', 2.5548102855682373, -1, -1, -1, (6, 1))","('UNSAT', 7.475806951522827, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 9.890106439590454, -1, -1, -1, (6, 1))","('UNSAT', 9.908468246459961, -1, -1, -1, (6, 1))","('UNSAT', 9.768680810928345, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.5570318698883057, -1, -1, -1, (7, 1))","('UNSAT', 2.5715601444244385, -1, -1, -1, (7, 1))","('UNSAT', 7.564285516738892, -1, -1, -1, (7, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 9.845749139785767, -1, -1, -1, (7, 1))","('UNSAT', 9.944291114807129, -1, -1, -1, (7, 1))","('UNSAT', 9.842461824417114, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.5176429748535156, -1, -1, -1, (8, 1))","('UNSAT', 2.5660297870635986, -1, -1, -1, (8, 1))","('UNSAT', 8.93932056427002, -1, -1, -1, (8, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 8.659049034118652, -1, -1, -1, (8, 1))","('UNSAT', 8.700337409973145, -1, -1, -1, (8, 1))","('UNSAT', 8.614210605621338, -1, -1, -1, (8, 1))"
