iterations,1,2,3,4,5,6,7,8,9
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 34.499993562698364, 73.2108, 0.215881, 2.8504347938000003e-05, (0, 1))","('SAT', 28.9807345867157, 48.8072, 0.21446, 1.6860636606e-05, (0, 1))","('UNSAT', 0.23282194137573242, -1, -1, -1, (0, 1))","('UNSAT', 0.2380971908569336, -1, -1, -1, (0, 1))","('UNSAT', 0.2362349033355713, -1, -1, -1, (0, 1))","('UNSAT', 0.24400544166564941, -1, -1, -1, (0, 1))","('UNSAT', 0.24863100051879883, -1, -1, -1, (0, 1))","('UNSAT', 0.23175787925720215, -1, -1, -1, (0, 1))","('UNSAT', 0.23690223693847656, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1413407325744629, -1, -1, -1, (1, 1))","('UNSAT', 0.13944315910339355, -1, -1, -1, (1, 1))","('UNSAT', 0.13830971717834473, -1, -1, -1, (1, 1))","('UNSAT', 0.14104342460632324, -1, -1, -1, (1, 1))","('UNSAT', 0.13602185249328613, -1, -1, -1, (1, 1))","('UNSAT', 0.1361064910888672, -1, -1, -1, (1, 1))","('UNSAT', 0.13474535942077637, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.30023932456970215, -1, -1, -1, (2, 1))","('UNSAT', 0.3046610355377197, -1, -1, -1, (2, 1))","('UNSAT', 0.30321311950683594, -1, -1, -1, (2, 1))","('UNSAT', 0.3327152729034424, -1, -1, -1, (2, 1))","('UNSAT', 0.30123424530029297, -1, -1, -1, (2, 1))","('UNSAT', 0.30263376235961914, -1, -1, -1, (2, 1))","('UNSAT', 0.297619104385376, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1444857120513916, -1, -1, -1, (3, 1))","('UNSAT', 0.147843599319458, -1, -1, -1, (3, 1))","('UNSAT', 0.14313197135925293, -1, -1, -1, (3, 1))","('UNSAT', 0.13825774192810059, -1, -1, -1, (3, 1))","('UNSAT', 0.14316439628601074, -1, -1, -1, (3, 1))","('UNSAT', 0.1474010944366455, -1, -1, -1, (3, 1))","('UNSAT', 0.14204955101013184, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14481902122497559, -1, -1, -1, (4, 1))","('UNSAT', 0.14957952499389648, -1, -1, -1, (4, 1))","('UNSAT', 0.1474454402923584, -1, -1, -1, (4, 1))","('UNSAT', 0.14747333526611328, -1, -1, -1, (4, 1))","('UNSAT', 0.146195650100708, -1, -1, -1, (4, 1))","('UNSAT', 0.1516580581665039, -1, -1, -1, (4, 1))","('UNSAT', 0.14137697219848633, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14537858963012695, -1, -1, -1, (5, 1))","('UNSAT', 0.14201092720031738, -1, -1, -1, (5, 1))","('UNSAT', 0.14270687103271484, -1, -1, -1, (5, 1))","('UNSAT', 0.14869260787963867, -1, -1, -1, (5, 1))","('UNSAT', 0.1446695327758789, -1, -1, -1, (5, 1))","('UNSAT', 0.14217066764831543, -1, -1, -1, (5, 1))","('UNSAT', 0.14236831665039062, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14000892639160156, -1, -1, -1, (6, 1))","('UNSAT', 0.14559054374694824, -1, -1, -1, (6, 1))","('UNSAT', 0.14244723320007324, -1, -1, -1, (6, 1))","('UNSAT', 0.14745855331420898, -1, -1, -1, (6, 1))","('UNSAT', 0.14322900772094727, -1, -1, -1, (6, 1))","('UNSAT', 0.15298128128051758, -1, -1, -1, (6, 1))","('UNSAT', 0.14356231689453125, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1441669464111328, -1, -1, -1, (7, 1))","('UNSAT', 0.14553451538085938, -1, -1, -1, (7, 1))","('UNSAT', 0.1430187225341797, -1, -1, -1, (7, 1))","('UNSAT', 0.14404702186584473, -1, -1, -1, (7, 1))","('UNSAT', 0.14334344863891602, -1, -1, -1, (7, 1))","('UNSAT', 0.13610148429870605, -1, -1, -1, (7, 1))","('UNSAT', 0.14399504661560059, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1433861255645752, -1, -1, -1, (8, 1))","('UNSAT', 0.14977693557739258, -1, -1, -1, (8, 1))","('UNSAT', 0.14461779594421387, -1, -1, -1, (8, 1))","('UNSAT', 0.14740657806396484, -1, -1, -1, (8, 1))","('UNSAT', 0.1423811912536621, -1, -1, -1, (8, 1))","('UNSAT', 0.14327049255371094, -1, -1, -1, (8, 1))","('UNSAT', 0.14316701889038086, -1, -1, -1, (8, 1))"
(9X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1430814266204834, -1, -1, -1, (9, 1))","('UNSAT', 0.145491361618042, -1, -1, -1, (9, 1))","('UNSAT', 0.14610981941223145, -1, -1, -1, (9, 1))","('UNSAT', 0.14910125732421875, -1, -1, -1, (9, 1))","('UNSAT', 0.14434480667114258, -1, -1, -1, (9, 1))","('UNSAT', 0.15382862091064453, -1, -1, -1, (9, 1))","('UNSAT', 0.14112353324890137, -1, -1, -1, (9, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.6333444118499756, -1, -1, -1, (1, 2))","('UNSAT', 0.7112014293670654, -1, -1, -1, (1, 2))","('UNSAT', 0.6298317909240723, -1, -1, -1, (1, 2))","('UNSAT', 0.6400790214538574, -1, -1, -1, (1, 2))","('UNSAT', 0.6346781253814697, -1, -1, -1, (1, 2))","('UNSAT', 0.6298213005065918, -1, -1, -1, (1, 2))","('UNSAT', 0.6402201652526855, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.029717922210693, -1, -1, -1, (2, 2))","('UNSAT', 5.114784479141235, -1, -1, -1, (2, 2))","('UNSAT', 5.020509481430054, -1, -1, -1, (2, 2))","('UNSAT', 5.017765045166016, -1, -1, -1, (2, 2))","('UNSAT', 5.0135273933410645, -1, -1, -1, (2, 2))","('UNSAT', 5.002874374389648, -1, -1, -1, (2, 2))","('UNSAT', 4.991282939910889, -1, -1, -1, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.317468881607056, -1, -1, -1, (3, 2))","('UNSAT', 4.29530143737793, -1, -1, -1, (3, 2))","('UNSAT', 4.287871360778809, -1, -1, -1, (3, 2))","('UNSAT', 4.331698417663574, -1, -1, -1, (3, 2))","('UNSAT', 4.273788928985596, -1, -1, -1, (3, 2))","('UNSAT', 4.261214017868042, -1, -1, -1, (3, 2))","('UNSAT', 4.280945539474487, -1, -1, -1, (3, 2))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.2072038650512695, -1, -1, -1, (4, 2))","('UNSAT', 4.154592037200928, -1, -1, -1, (4, 2))","('UNSAT', 4.208419322967529, -1, -1, -1, (4, 2))","('UNSAT', 4.135522365570068, -1, -1, -1, (4, 2))","('UNSAT', 4.157053232192993, -1, -1, -1, (4, 2))","('UNSAT', 4.144011735916138, -1, -1, -1, (4, 2))","('UNSAT', 4.172521591186523, -1, -1, -1, (4, 2))"
