iterations,1,2,3,4,5,6,7,8,9
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 35.29578256607056, 73.2108, 0.215881, 2.8504347938000003e-05, (0, 1))","('SAT', 27.411242723464966, 48.8072, 0.21446, 1.6860636606e-05, (0, 1))","('UNSAT', 0.10890603065490723, -1, -1, -1, (0, 1))","('UNSAT', 0.29905056953430176, -1, -1, -1, (0, 1))","('UNSAT', 0.0342867374420166, -1, -1, -1, (0, 1))","('UNSAT', 0.039789676666259766, -1, -1, -1, (0, 1))","('UNSAT', 0.031885623931884766, -1, -1, -1, (0, 1))","('UNSAT', 0.03161883354187012, -1, -1, -1, (0, 1))","('UNSAT', 0.0313258171081543, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.034106492996216, -1, -1, -1, (1, 1))","('SAT', 23.60023522377014, 16.8948, 0.079227, 3.935847416869e-06, (1, 1))","('UNSAT', 3.057511568069458, -1, -1, -1, (1, 1))","('SAT', 21.28410005569458, 6.5702, 0.05005, 1.059724581864e-06, (1, 1))","('UNSAT', 0.19836139678955078, -1, -1, -1, (1, 1))","('UNSAT', 0.20084547996520996, -1, -1, -1, (1, 1))","('UNSAT', 0.2095022201538086, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.111472845077515, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.107958793640137, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.4823522567749023, -1, -1, -1, (2, 1))","('UNSAT', 1.477104902267456, -1, -1, -1, (2, 1))","('UNSAT', 1.4771127700805664, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 8.970989465713501, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.6541554927825928, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.18280029296875, -1, -1, -1, (3, 1))","('UNSAT', 1.195504903793335, -1, -1, -1, (3, 1))","('UNSAT', 1.1992459297180176, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 7.725288152694702, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.6795437335968018, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.203547716140747, -1, -1, -1, (4, 1))","('UNSAT', 1.17811918258667, -1, -1, -1, (4, 1))","('UNSAT', 1.2051589488983154, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.80637526512146, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.1498076915740967, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.191152572631836, -1, -1, -1, (5, 1))","('UNSAT', 1.1994495391845703, -1, -1, -1, (5, 1))","('UNSAT', 1.195960283279419, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.786975622177124, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.223161458969116, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.183117389678955, -1, -1, -1, (6, 1))","('UNSAT', 1.187307357788086, -1, -1, -1, (6, 1))","('UNSAT', 1.2217390537261963, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.8333775997161865, -1, -1, -1, (7, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.1593880653381348, -1, -1, -1, (7, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.191842794418335, -1, -1, -1, (7, 1))","('UNSAT', 1.1975722312927246, -1, -1, -1, (7, 1))","('UNSAT', 1.1909186840057373, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 7.8125646114349365, -1, -1, -1, (8, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.6533234119415283, -1, -1, -1, (8, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.173278570175171, -1, -1, -1, (8, 1))","('UNSAT', 1.2002277374267578, -1, -1, -1, (8, 1))","('UNSAT', 1.1967759132385254, -1, -1, -1, (8, 1))"
