iterations,1,2,3,4,5,6
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.018680572509765625, -1, -1, -1, (0, 1))","('UNSAT', 0.013508081436157227, -1, -1, -1, (0, 1))","('UNSAT', 0.013761758804321289, -1, -1, -1, (0, 1))","('UNSAT', 0.01326608657836914, -1, -1, -1, (0, 1))","('UNSAT', 0.013996124267578125, -1, -1, -1, (0, 1))","('UNSAT', 0.014406204223632812, -1, -1, -1, (0, 1))"
(1X1),"('SAT', 0.2808666229248047, 29.5659, 0.124919, 6.921507520019e-06, (1, 1))","('UNSAT', 0.0307004451751709, -1, -1, -1, (1, 1))","('UNSAT', 0.031039714813232422, -1, -1, -1, (1, 1))","('UNSAT', 0.03266167640686035, -1, -1, -1, (1, 1))","('UNSAT', 0.031876564025878906, -1, -1, -1, (1, 1))","('UNSAT', 0.03306102752685547, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.030599355697631836, -1, -1, -1, (2, 1))","('UNSAT', 0.030959129333496094, -1, -1, -1, (2, 1))","('UNSAT', 0.0328669548034668, -1, -1, -1, (2, 1))","('UNSAT', 0.033052682876586914, -1, -1, -1, (2, 1))","('UNSAT', 0.033692359924316406, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.023828744888305664, -1, -1, -1, (3, 1))","('UNSAT', 0.023514986038208008, -1, -1, -1, (3, 1))","('UNSAT', 0.023571014404296875, -1, -1, -1, (3, 1))","('UNSAT', 0.024484872817993164, -1, -1, -1, (3, 1))","('UNSAT', 0.024591445922851562, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.023323535919189453, -1, -1, -1, (4, 1))","('UNSAT', 0.023317575454711914, -1, -1, -1, (4, 1))","('UNSAT', 0.024831295013427734, -1, -1, -1, (4, 1))","('UNSAT', 0.0237429141998291, -1, -1, -1, (4, 1))","('UNSAT', 0.024082660675048828, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.023876190185546875, -1, -1, -1, (5, 1))","('UNSAT', 0.02320241928100586, -1, -1, -1, (5, 1))","('UNSAT', 0.02349996566772461, -1, -1, -1, (5, 1))","('UNSAT', 0.024241209030151367, -1, -1, -1, (5, 1))","('UNSAT', 0.024599313735961914, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.02396416664123535, -1, -1, -1, (6, 1))","('UNSAT', 0.024503469467163086, -1, -1, -1, (6, 1))","('UNSAT', 0.023379087448120117, -1, -1, -1, (6, 1))","('UNSAT', 0.024445295333862305, -1, -1, -1, (6, 1))","('UNSAT', 0.02416849136352539, -1, -1, -1, (6, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.02601480484008789, -1, -1, -1, (1, 2))","('UNSAT', 0.02568340301513672, -1, -1, -1, (1, 2))","('UNSAT', 0.024563312530517578, -1, -1, -1, (1, 2))","('UNSAT', 0.024474382400512695, -1, -1, -1, (1, 2))","('UNSAT', 0.025310754776000977, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.11965107917785645, -1, -1, -1, (2, 2))","('UNSAT', 0.12016797065734863, -1, -1, -1, (2, 2))","('UNSAT', 0.11915969848632812, -1, -1, -1, (2, 2))","('UNSAT', 0.12235832214355469, -1, -1, -1, (2, 2))","('UNSAT', 0.12575316429138184, -1, -1, -1, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.0797586441040039, -1, -1, -1, (3, 2))","('UNSAT', 0.07786321640014648, -1, -1, -1, (3, 2))","('UNSAT', 0.0721278190612793, -1, -1, -1, (3, 2))","('UNSAT', 0.07170677185058594, -1, -1, -1, (3, 2))","('UNSAT', 0.07566618919372559, -1, -1, -1, (3, 2))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.07963943481445312, -1, -1, -1, (4, 2))","('UNSAT', 0.0739593505859375, -1, -1, -1, (4, 2))","('UNSAT', 0.07471489906311035, -1, -1, -1, (4, 2))","('UNSAT', 0.07205867767333984, -1, -1, -1, (4, 2))","('UNSAT', 0.07478618621826172, -1, -1, -1, (4, 2))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.07171964645385742, -1, -1, -1, (5, 2))","('UNSAT', 0.07246899604797363, -1, -1, -1, (5, 2))","('UNSAT', 0.07727861404418945, -1, -1, -1, (5, 2))","('UNSAT', 0.0726618766784668, -1, -1, -1, (5, 2))","('UNSAT', 0.07526946067810059, -1, -1, -1, (5, 2))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.07074809074401855, -1, -1, -1, (6, 2))","('UNSAT', 0.078582763671875, -1, -1, -1, (6, 2))","('UNSAT', 0.07844233512878418, -1, -1, -1, (6, 2))","('UNSAT', 0.07584810256958008, -1, -1, -1, (6, 2))","('UNSAT', 0.07680416107177734, -1, -1, -1, (6, 2))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03325247764587402, -1, -1, -1, (1, 3))","('UNSAT', 0.035497188568115234, -1, -1, -1, (1, 3))","('UNSAT', 0.036562442779541016, -1, -1, -1, (1, 3))","('UNSAT', 0.03419637680053711, -1, -1, -1, (1, 3))","('UNSAT', 0.033913373947143555, -1, -1, -1, (1, 3))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1481778621673584, -1, -1, -1, (2, 3))","('UNSAT', 0.16162776947021484, -1, -1, -1, (2, 3))","('UNSAT', 0.1686091423034668, -1, -1, -1, (2, 3))","('UNSAT', 0.15802454948425293, -1, -1, -1, (2, 3))","('UNSAT', 0.15709877014160156, -1, -1, -1, (2, 3))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.25422048568725586, 29.5659, 0.124919, 6.921507520019e-06, (3, 3))","('SAT', 0.2773158550262451, 29.5659, 0.124919, 6.921507520019e-06, (3, 3))","('SAT', 0.2726867198944092, 29.5659, 0.124919, 6.921507520019e-06, (3, 3))","('SAT', 0.26792216300964355, 29.5659, 0.124919, 6.921507520019e-06, (3, 3))","('SAT', 0.2612910270690918, 29.5659, 0.124919, 6.921507520019e-06, (3, 3))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X5),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
