iterations,1,2,3,4,5,6,7,8,9,10
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 87.03483366966248, 38.4826, 0.11319, 1.463946955482e-05, (0, 1))","('SAT', 71.1492428779602, 25.3422, 0.11319, 8.699224053998e-06, (0, 1))","('UNSAT', 0.021026611328125, -1, -1, -1, (0, 1))","('UNSAT', 0.020951032638549805, -1, -1, -1, (0, 1))","('UNSAT', 0.021237850189208984, -1, -1, -1, (0, 1))","('UNSAT', 0.021010398864746094, -1, -1, -1, (0, 1))","('UNSAT', 0.020917654037475586, -1, -1, -1, (0, 1))","('UNSAT', 0.020986318588256836, -1, -1, -1, (0, 1))","('UNSAT', 0.02075481414794922, -1, -1, -1, (0, 1))","('UNSAT', 0.020959138870239258, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03413224220275879, -1, -1, -1, (1, 1))","('UNSAT', 0.03388643264770508, -1, -1, -1, (1, 1))","('UNSAT', 0.03427839279174805, -1, -1, -1, (1, 1))","('UNSAT', 0.0338282585144043, -1, -1, -1, (1, 1))","('UNSAT', 0.034754037857055664, -1, -1, -1, (1, 1))","('UNSAT', 0.03372621536254883, -1, -1, -1, (1, 1))","('UNSAT', 0.034059762954711914, -1, -1, -1, (1, 1))","('UNSAT', 0.03377056121826172, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.027171850204467773, -1, -1, -1, (2, 1))","('UNSAT', 0.026848316192626953, -1, -1, -1, (2, 1))","('UNSAT', 0.0270693302154541, -1, -1, -1, (2, 1))","('UNSAT', 0.026923656463623047, -1, -1, -1, (2, 1))","('UNSAT', 0.027154922485351562, -1, -1, -1, (2, 1))","('UNSAT', 0.027443647384643555, -1, -1, -1, (2, 1))","('UNSAT', 0.02657318115234375, -1, -1, -1, (2, 1))","('UNSAT', 0.02740478515625, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.026598215103149414, -1, -1, -1, (3, 1))","('UNSAT', 0.028542518615722656, -1, -1, -1, (3, 1))","('UNSAT', 0.026752471923828125, -1, -1, -1, (3, 1))","('UNSAT', 0.028499841690063477, -1, -1, -1, (3, 1))","('UNSAT', 0.026813268661499023, -1, -1, -1, (3, 1))","('UNSAT', 0.028649091720581055, -1, -1, -1, (3, 1))","('UNSAT', 0.026521921157836914, -1, -1, -1, (3, 1))","('UNSAT', 0.027312278747558594, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.026927947998046875, -1, -1, -1, (4, 1))","('UNSAT', 0.027803421020507812, -1, -1, -1, (4, 1))","('UNSAT', 0.026827096939086914, -1, -1, -1, (4, 1))","('UNSAT', 0.02695178985595703, -1, -1, -1, (4, 1))","('UNSAT', 0.026732921600341797, -1, -1, -1, (4, 1))","('UNSAT', 0.03806424140930176, -1, -1, -1, (4, 1))","('UNSAT', 0.026630878448486328, -1, -1, -1, (4, 1))","('UNSAT', 0.02823781967163086, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.026700496673583984, -1, -1, -1, (5, 1))","('UNSAT', 0.027222394943237305, -1, -1, -1, (5, 1))","('UNSAT', 0.02667832374572754, -1, -1, -1, (5, 1))","('UNSAT', 0.02736949920654297, -1, -1, -1, (5, 1))","('UNSAT', 0.026858091354370117, -1, -1, -1, (5, 1))","('UNSAT', 0.027106046676635742, -1, -1, -1, (5, 1))","('UNSAT', 0.02680802345275879, -1, -1, -1, (5, 1))","('UNSAT', 0.027019500732421875, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.026564598083496094, -1, -1, -1, (6, 1))","('UNSAT', 0.028085947036743164, -1, -1, -1, (6, 1))","('UNSAT', 0.026655912399291992, -1, -1, -1, (6, 1))","('UNSAT', 0.027288436889648438, -1, -1, -1, (6, 1))","('UNSAT', 0.02693319320678711, -1, -1, -1, (6, 1))","('UNSAT', 0.027018070220947266, -1, -1, -1, (6, 1))","('UNSAT', 0.02661442756652832, -1, -1, -1, (6, 1))","('UNSAT', 0.02706456184387207, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.026621580123901367, -1, -1, -1, (7, 1))","('UNSAT', 0.027570724487304688, -1, -1, -1, (7, 1))","('UNSAT', 0.026868820190429688, -1, -1, -1, (7, 1))","('UNSAT', 0.027302026748657227, -1, -1, -1, (7, 1))","('UNSAT', 0.02708888053894043, -1, -1, -1, (7, 1))","('UNSAT', 0.02724933624267578, -1, -1, -1, (7, 1))","('UNSAT', 0.0278317928314209, -1, -1, -1, (7, 1))","('UNSAT', 0.027226686477661133, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.02802896499633789, -1, -1, -1, (8, 1))","('UNSAT', 0.02683091163635254, -1, -1, -1, (8, 1))","('UNSAT', 0.027547121047973633, -1, -1, -1, (8, 1))","('UNSAT', 0.026549577713012695, -1, -1, -1, (8, 1))","('UNSAT', 0.028210163116455078, -1, -1, -1, (8, 1))","('UNSAT', 0.02689528465270996, -1, -1, -1, (8, 1))","('UNSAT', 0.028011798858642578, -1, -1, -1, (8, 1))","('UNSAT', 0.026736974716186523, -1, -1, -1, (8, 1))"
