iterations,1,2,3,4,5,6,7,8
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.2791426181793213, -1, -1, -1, (3, 2))","('UNSAT', 0.5959873199462891, -1, -1, -1, (3, 2))","('UNSAT', 0.6237719058990479, -1, -1, -1, (3, 2))","('UNSAT', 3.305377721786499, -1, -1, -1, (3, 2))","('UNSAT', 3.287660598754883, -1, -1, -1, (3, 2))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.273796558380127, -1, -1, -1, (4, 2))","('UNSAT', 0.5925281047821045, -1, -1, -1, (4, 2))","('UNSAT', 0.5981874465942383, -1, -1, -1, (4, 2))","('UNSAT', 3.304697036743164, -1, -1, -1, (4, 2))","('UNSAT', 3.315152883529663, -1, -1, -1, (4, 2))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.2734899520874023, -1, -1, -1, (5, 2))","('UNSAT', 0.6104221343994141, -1, -1, -1, (5, 2))","('UNSAT', 0.6075155735015869, -1, -1, -1, (5, 2))","('UNSAT', 3.2847073078155518, -1, -1, -1, (5, 2))","('UNSAT', 3.265390634536743, -1, -1, -1, (5, 2))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.298213243484497, -1, -1, -1, (6, 2))","('UNSAT', 0.5962038040161133, -1, -1, -1, (6, 2))","('UNSAT', 0.5998592376708984, -1, -1, -1, (6, 2))","('UNSAT', 3.2776033878326416, -1, -1, -1, (6, 2))","('UNSAT', 3.3072140216827393, -1, -1, -1, (6, 2))"
(7X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.277535915374756, -1, -1, -1, (7, 2))","('UNSAT', 0.5964798927307129, -1, -1, -1, (7, 2))","('UNSAT', 0.6038074493408203, -1, -1, -1, (7, 2))","('UNSAT', 3.2658331394195557, -1, -1, -1, (7, 2))","('UNSAT', 3.3334691524505615, -1, -1, -1, (7, 2))"
(8X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.2966017723083496, -1, -1, -1, (8, 2))","('UNSAT', 0.5928411483764648, -1, -1, -1, (8, 2))","('UNSAT', 0.6207473278045654, -1, -1, -1, (8, 2))","('UNSAT', 3.276597499847412, -1, -1, -1, (8, 2))","('UNSAT', 3.3286211490631104, -1, -1, -1, (8, 2))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.273902416229248, -1, -1, -1, (1, 3))","('UNSAT', 0.06369352340698242, -1, -1, -1, (1, 3))","('UNSAT', 0.06388998031616211, -1, -1, -1, (1, 3))","('UNSAT', 2.2693264484405518, -1, -1, -1, (1, 3))","('UNSAT', 2.309088706970215, -1, -1, -1, (1, 3))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.753056764602661, -1, -1, -1, (2, 3))","('UNSAT', 1.2054469585418701, -1, -1, -1, (2, 3))","('UNSAT', 1.2053611278533936, -1, -1, -1, (2, 3))","('UNSAT', 3.805710554122925, -1, -1, -1, (2, 3))","('UNSAT', 3.847226142883301, -1, -1, -1, (2, 3))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 8.41698408126831, 45.9914, 0.172426, 1.4174256648400001e-05, (3, 3))","('SAT', 7.996016025543213, 45.9914, 0.172426, 1.4174256648400001e-05, (3, 3))","('SAT', 8.085020780563354, 45.9914, 0.172426, 1.4174256648400001e-05, (3, 3))","('SAT', 8.458792686462402, 45.9914, 0.172426, 1.4174256648400001e-05, (3, 3))","('SAT', 8.45561933517456, 45.9914, 0.172426, 1.4174256648400001e-05, (3, 3))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
