iterations,1,2,3,4,5,6,7,8,9,10,11,12
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.015966415405273438, -1, -1, -1, (0, 1))","('UNSAT', 0.019780635833740234, -1, -1, -1, (0, 1))","('UNSAT', 0.016766071319580078, -1, -1, -1, (0, 1))","('UNSAT', 0.01523900032043457, -1, -1, -1, (0, 1))","('UNSAT', 0.02370476722717285, -1, -1, -1, (0, 1))","('UNSAT', 0.020278453826904297, -1, -1, -1, (0, 1))","('UNSAT', 0.019744157791137695, -1, -1, -1, (0, 1))","('UNSAT', 0.019914865493774414, -1, -1, -1, (0, 1))","('UNSAT', 0.0266571044921875, -1, -1, -1, (0, 1))","('UNSAT', 0.0178987979888916, -1, -1, -1, (0, 1))","('UNSAT', 0.020265817642211914, -1, -1, -1, (0, 1))","('UNSAT', 0.02620697021484375, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.02820110321044922, -1, -1, -1, (1, 1))","('UNSAT', 0.044171810150146484, -1, -1, -1, (1, 1))","('UNSAT', 0.02947211265563965, -1, -1, -1, (1, 1))","('UNSAT', 0.030548095703125, -1, -1, -1, (1, 1))","('UNSAT', 0.061075448989868164, -1, -1, -1, (1, 1))","('UNSAT', 0.036209821701049805, -1, -1, -1, (1, 1))","('UNSAT', 0.040235042572021484, -1, -1, -1, (1, 1))","('UNSAT', 0.03783392906188965, -1, -1, -1, (1, 1))","('UNSAT', 0.03683161735534668, -1, -1, -1, (1, 1))","('UNSAT', 0.024861574172973633, -1, -1, -1, (1, 1))","('UNSAT', 0.03432512283325195, -1, -1, -1, (1, 1))","('UNSAT', 0.02962017059326172, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.029947280883789062, -1, -1, -1, (2, 1))","('UNSAT', 0.06084704399108887, -1, -1, -1, (2, 1))","('UNSAT', 0.03933358192443848, -1, -1, -1, (2, 1))","('UNSAT', 0.0278933048248291, -1, -1, -1, (2, 1))","('UNSAT', 0.11092543601989746, -1, -1, -1, (2, 1))","('UNSAT', 0.07732295989990234, -1, -1, -1, (2, 1))","('UNSAT', 0.049686431884765625, -1, -1, -1, (2, 1))","('UNSAT', 0.04868459701538086, -1, -1, -1, (2, 1))","('UNSAT', 0.02096414566040039, -1, -1, -1, (2, 1))","('UNSAT', 0.03258061408996582, -1, -1, -1, (2, 1))","('UNSAT', 0.04749441146850586, -1, -1, -1, (2, 1))","('UNSAT', 0.04836249351501465, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.01955437660217285, -1, -1, -1, (3, 1))","('UNSAT', 0.0566554069519043, -1, -1, -1, (3, 1))","('UNSAT', 0.029637813568115234, -1, -1, -1, (3, 1))","('UNSAT', 0.02668476104736328, -1, -1, -1, (3, 1))","('UNSAT', 0.06298661231994629, -1, -1, -1, (3, 1))","('UNSAT', 0.05125737190246582, -1, -1, -1, (3, 1))","('UNSAT', 0.06670618057250977, -1, -1, -1, (3, 1))","('UNSAT', 0.037833452224731445, -1, -1, -1, (3, 1))","('UNSAT', 0.03734946250915527, -1, -1, -1, (3, 1))","('UNSAT', 0.03248763084411621, -1, -1, -1, (3, 1))","('UNSAT', 0.03678417205810547, -1, -1, -1, (3, 1))","('UNSAT', 0.03621983528137207, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.02949833869934082, -1, -1, -1, (4, 1))","('UNSAT', 0.03509259223937988, -1, -1, -1, (4, 1))","('UNSAT', 0.02995133399963379, -1, -1, -1, (4, 1))","('UNSAT', 0.027306556701660156, -1, -1, -1, (4, 1))","('UNSAT', 0.08124160766601562, -1, -1, -1, (4, 1))","('UNSAT', 0.027727127075195312, -1, -1, -1, (4, 1))","('UNSAT', 0.040947914123535156, -1, -1, -1, (4, 1))","('UNSAT', 0.03952169418334961, -1, -1, -1, (4, 1))","('UNSAT', 0.036364078521728516, -1, -1, -1, (4, 1))","('UNSAT', 0.02346944808959961, -1, -1, -1, (4, 1))","('UNSAT', 0.037798404693603516, -1, -1, -1, (4, 1))","('UNSAT', 0.03679823875427246, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.02880573272705078, -1, -1, -1, (5, 1))","('UNSAT', 0.04223346710205078, -1, -1, -1, (5, 1))","('UNSAT', 0.036023616790771484, -1, -1, -1, (5, 1))","('UNSAT', 0.027919292449951172, -1, -1, -1, (5, 1))","('UNSAT', 0.07926225662231445, -1, -1, -1, (5, 1))","('UNSAT', 0.028343915939331055, -1, -1, -1, (5, 1))","('UNSAT', 0.04728555679321289, -1, -1, -1, (5, 1))","('UNSAT', 0.06573343276977539, -1, -1, -1, (5, 1))","('UNSAT', 0.027016162872314453, -1, -1, -1, (5, 1))","('UNSAT', 0.03232288360595703, -1, -1, -1, (5, 1))","('UNSAT', 0.025268077850341797, -1, -1, -1, (5, 1))","('UNSAT', 0.05304288864135742, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.028388261795043945, -1, -1, -1, (6, 1))","('UNSAT', 0.06402182579040527, -1, -1, -1, (6, 1))","('UNSAT', 0.03823494911193848, -1, -1, -1, (6, 1))","('UNSAT', 0.026729822158813477, -1, -1, -1, (6, 1))","('UNSAT', 0.08658075332641602, -1, -1, -1, (6, 1))","('UNSAT', 0.04794478416442871, -1, -1, -1, (6, 1))","('UNSAT', 0.0328369140625, -1, -1, -1, (6, 1))","('UNSAT', 0.027781248092651367, -1, -1, -1, (6, 1))","('UNSAT', 0.061882734298706055, -1, -1, -1, (6, 1))","('UNSAT', 0.023890972137451172, -1, -1, -1, (6, 1))","('UNSAT', 0.03674197196960449, -1, -1, -1, (6, 1))","('UNSAT', 0.035797834396362305, -1, -1, -1, (6, 1))"
(1X2),"('UNSAT', 0.08184504508972168, -1, -1, -1, (1, 2))","('UNSAT', 0.06386351585388184, -1, -1, -1, (1, 2))","('UNSAT', 0.045514822006225586, -1, -1, -1, (1, 2))","('UNSAT', 0.0653083324432373, -1, -1, -1, (1, 2))","('UNSAT', 0.12919282913208008, -1, -1, -1, (1, 2))","('UNSAT', 0.06817507743835449, -1, -1, -1, (1, 2))","('UNSAT', 0.11906933784484863, -1, -1, -1, (1, 2))","('UNSAT', 0.14645123481750488, -1, -1, -1, (1, 2))","('UNSAT', 0.07478570938110352, -1, -1, -1, (1, 2))","('UNSAT', 0.0560297966003418, -1, -1, -1, (1, 2))","('UNSAT', 0.10508894920349121, -1, -1, -1, (1, 2))","('UNSAT', 0.06064438819885254, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.08920884132385254, -1, -1, -1, (2, 2))","('UNSAT', 0.24832987785339355, -1, -1, -1, (2, 2))","('UNSAT', 0.10153818130493164, -1, -1, -1, (2, 2))","('UNSAT', 0.10322356224060059, -1, -1, -1, (2, 2))","('UNSAT', 0.16008830070495605, -1, -1, -1, (2, 2))","('UNSAT', 0.11342859268188477, -1, -1, -1, (2, 2))","('UNSAT', 0.19130444526672363, -1, -1, -1, (2, 2))","('UNSAT', 0.16148877143859863, -1, -1, -1, (2, 2))","('UNSAT', 0.08044934272766113, -1, -1, -1, (2, 2))","('UNSAT', 0.07513189315795898, -1, -1, -1, (2, 2))","('UNSAT', 0.23899269104003906, -1, -1, -1, (2, 2))","('UNSAT', 0.25159168243408203, -1, -1, -1, (2, 2))"
