iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
(1X2),"('UNSAT', 0.06102776527404785, -1, -1, -1, (1, 2))","('UNSAT', 0.14002776145935059, -1, -1, -1, (1, 2))","('UNSAT', 0.882627010345459, -1, -1, -1, (1, 2))","('UNSAT', 1.9184954166412354, -1, -1, -1, (1, 2))","('UNSAT', 0.08866310119628906, -1, -1, -1, (1, 2))","('UNSAT', 0.13844776153564453, -1, -1, -1, (1, 2))","('UNSAT', 0.06656193733215332, -1, -1, -1, (1, 2))","('UNSAT', 0.06713128089904785, -1, -1, -1, (1, 2))","('UNSAT', 0.06547737121582031, -1, -1, -1, (1, 2))","('UNSAT', 0.06645679473876953, -1, -1, -1, (1, 2))","('UNSAT', 0.06628632545471191, -1, -1, -1, (1, 2))","('UNSAT', 0.06718277931213379, -1, -1, -1, (1, 2))","('UNSAT', 0.06566572189331055, -1, -1, -1, (1, 2))","('UNSAT', 0.06699872016906738, -1, -1, -1, (1, 2))","('UNSAT', 0.06635165214538574, -1, -1, -1, (1, 2))","('UNSAT', 0.06636953353881836, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.4192194938659668, -1, -1, -1, (2, 2))","('UNSAT', 2.4691359996795654, -1, -1, -1, (2, 2))","('SAT', 4.3370606899261475, 35.1975, 0.112012, 9.514505109109e-06, (2, 2))","('SAT', 3.874283790588379, 35.1975, 0.116988, 6.529279744426999e-06, (2, 2))","('SAT', 3.9196484088897705, 37.544, 0.116988, 8.191261258617e-06, (2, 2))","('SAT', 3.914433240890503, 34.7282, 0.141313, 8.565229109081e-06, (2, 2))","('SAT', 3.8772025108337402, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.9228317737579346, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.878854513168335, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.8008933067321777, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.866851329803467, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.8371658325195312, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.84592866897583, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.843651533126831, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.7544326782226562, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))","('SAT', 3.7997756004333496, 34.2589, 0.134102, 7.56896497478e-06, (2, 2))"
(3X2),"('UNSAT', 0.8265602588653564, -1, -1, -1, (3, 2))","('UNSAT', 3.361431121826172, -1, -1, -1, (3, 2))","('UNSAT', 1.0131821632385254, -1, -1, -1, (3, 2))","('UNSAT', 0.6564106941223145, -1, -1, -1, (3, 2))","('UNSAT', 1.8040738105773926, -1, -1, -1, (3, 2))","('UNSAT', 1.7284698486328125, -1, -1, -1, (3, 2))","('UNSAT', 1.1343822479248047, -1, -1, -1, (3, 2))","('UNSAT', 0.8817617893218994, -1, -1, -1, (3, 2))","('UNSAT', 0.48408961296081543, -1, -1, -1, (3, 2))","('UNSAT', 0.22535347938537598, -1, -1, -1, (3, 2))","('UNSAT', 0.9665112495422363, -1, -1, -1, (3, 2))","('UNSAT', 1.0726521015167236, -1, -1, -1, (3, 2))","('UNSAT', 0.97953200340271, -1, -1, -1, (3, 2))","('UNSAT', 1.8830840587615967, -1, -1, -1, (3, 2))","('UNSAT', 1.0535833835601807, -1, -1, -1, (3, 2))","('UNSAT', 1.0364878177642822, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.4240407943725586, -1, -1, -1, (4, 2))","('UNSAT', 2.328770399093628, -1, -1, -1, (4, 2))","('UNSAT', 0.902876615524292, -1, -1, -1, (4, 2))","('UNSAT', 0.3928258419036865, -1, -1, -1, (4, 2))","('UNSAT', 0.11488747596740723, -1, -1, -1, (4, 2))","('UNSAT', 1.6794681549072266, -1, -1, -1, (4, 2))","('UNSAT', 1.5334177017211914, -1, -1, -1, (4, 2))","('UNSAT', 1.0702390670776367, -1, -1, -1, (4, 2))","('UNSAT', 0.38559675216674805, -1, -1, -1, (4, 2))","('UNSAT', 1.3284282684326172, -1, -1, -1, (4, 2))","('UNSAT', 1.3967385292053223, -1, -1, -1, (4, 2))","('UNSAT', 1.056647539138794, -1, -1, -1, (4, 2))","('UNSAT', 0.7896645069122314, -1, -1, -1, (4, 2))","('UNSAT', 1.9683828353881836, -1, -1, -1, (4, 2))","('UNSAT', 0.946990966796875, -1, -1, -1, (4, 2))","('UNSAT', 0.9820246696472168, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.31102991104125977, -1, -1, -1, (5, 2))","('UNSAT', 4.486142635345459, -1, -1, -1, (5, 2))","('UNSAT', 1.4025635719299316, -1, -1, -1, (5, 2))","('UNSAT', 0.47139811515808105, -1, -1, -1, (5, 2))","('UNSAT', 0.18119359016418457, -1, -1, -1, (5, 2))","('UNSAT', 1.442007064819336, -1, -1, -1, (5, 2))","('UNSAT', 1.4812629222869873, -1, -1, -1, (5, 2))","('UNSAT', 0.9003815650939941, -1, -1, -1, (5, 2))","('UNSAT', 0.5860519409179688, -1, -1, -1, (5, 2))","('UNSAT', 0.5290756225585938, -1, -1, -1, (5, 2))","('UNSAT', 1.3555374145507812, -1, -1, -1, (5, 2))","('UNSAT', 1.2791104316711426, -1, -1, -1, (5, 2))","('UNSAT', 0.9190051555633545, -1, -1, -1, (5, 2))","('UNSAT', 1.8802027702331543, -1, -1, -1, (5, 2))","('UNSAT', 0.9746725559234619, -1, -1, -1, (5, 2))","('UNSAT', 1.0028061866760254, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.5710310935974121, -1, -1, -1, (6, 2))","('UNSAT', 1.1267390251159668, -1, -1, -1, (6, 2))","('UNSAT', 1.6080315113067627, -1, -1, -1, (6, 2))","('UNSAT', 0.27345800399780273, -1, -1, -1, (6, 2))","('UNSAT', 0.9258701801300049, -1, -1, -1, (6, 2))","('UNSAT', 1.7239861488342285, -1, -1, -1, (6, 2))","('UNSAT', 0.7584874629974365, -1, -1, -1, (6, 2))","('UNSAT', 1.0741190910339355, -1, -1, -1, (6, 2))","('UNSAT', 0.4924654960632324, -1, -1, -1, (6, 2))","('UNSAT', 0.5312228202819824, -1, -1, -1, (6, 2))","('UNSAT', 1.198277473449707, -1, -1, -1, (6, 2))","('UNSAT', 1.2706842422485352, -1, -1, -1, (6, 2))","('UNSAT', 0.9256105422973633, -1, -1, -1, (6, 2))","('UNSAT', 1.6776244640350342, -1, -1, -1, (6, 2))","('UNSAT', 0.8156297206878662, -1, -1, -1, (6, 2))","('UNSAT', 0.8327584266662598, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.6145200729370117, -1, -1, -1, (7, 2))","('UNSAT', 2.066732883453369, -1, -1, -1, (7, 2))","('UNSAT', 1.0115208625793457, -1, -1, -1, (7, 2))","('UNSAT', 1.311371088027954, -1, -1, -1, (7, 2))","('UNSAT', 1.5215563774108887, -1, -1, -1, (7, 2))","('UNSAT', 1.4604523181915283, -1, -1, -1, (7, 2))","('UNSAT', 0.7439870834350586, -1, -1, -1, (7, 2))","('UNSAT', 1.064117431640625, -1, -1, -1, (7, 2))","('UNSAT', 0.3221745491027832, -1, -1, -1, (7, 2))","('UNSAT', 0.5338356494903564, -1, -1, -1, (7, 2))","('UNSAT', 1.1828689575195312, -1, -1, -1, (7, 2))","('UNSAT', 1.268965482711792, -1, -1, -1, (7, 2))","('UNSAT', 0.926628828048706, -1, -1, -1, (7, 2))","('UNSAT', 1.8650999069213867, -1, -1, -1, (7, 2))","('UNSAT', 0.8327045440673828, -1, -1, -1, (7, 2))","('UNSAT', 0.8095729351043701, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.867652416229248, -1, -1, -1, (8, 2))","('UNSAT', 3.278808832168579, -1, -1, -1, (8, 2))","('UNSAT', 2.0001323223114014, -1, -1, -1, (8, 2))","('UNSAT', 0.2666184902191162, -1, -1, -1, (8, 2))","('UNSAT', 1.3052349090576172, -1, -1, -1, (8, 2))","('UNSAT', 1.7219011783599854, -1, -1, -1, (8, 2))","('UNSAT', 0.7634620666503906, -1, -1, -1, (8, 2))","('UNSAT', 1.0743322372436523, -1, -1, -1, (8, 2))","('UNSAT', 0.3220553398132324, -1, -1, -1, (8, 2))","('UNSAT', 0.5252845287322998, -1, -1, -1, (8, 2))","('UNSAT', 0.9831922054290771, -1, -1, -1, (8, 2))","('UNSAT', 1.273402214050293, -1, -1, -1, (8, 2))","('UNSAT', 0.9285335540771484, -1, -1, -1, (8, 2))","('UNSAT', 1.700301170349121, -1, -1, -1, (8, 2))","('UNSAT', 0.785053014755249, -1, -1, -1, (8, 2))","('UNSAT', 0.8064367771148682, -1, -1, -1, (8, 2))"
(1X3),"('UNSAT', 0.08973073959350586, -1, -1, -1, (1, 3))","('UNSAT', 0.27781176567077637, -1, -1, -1, (1, 3))","('UNSAT', 0.09560704231262207, -1, -1, -1, (1, 3))","('UNSAT', 0.10240888595581055, -1, -1, -1, (1, 3))","('UNSAT', 0.20086288452148438, -1, -1, -1, (1, 3))","('UNSAT', 0.06403088569641113, -1, -1, -1, (1, 3))","('UNSAT', 0.09741926193237305, -1, -1, -1, (1, 3))","('UNSAT', 0.6958262920379639, -1, -1, -1, (1, 3))","('UNSAT', 0.19344806671142578, -1, -1, -1, (1, 3))","('UNSAT', 0.23000693321228027, -1, -1, -1, (1, 3))","('UNSAT', 0.05449938774108887, -1, -1, -1, (1, 3))","('UNSAT', 0.07655954360961914, -1, -1, -1, (1, 3))","('UNSAT', 0.3176097869873047, -1, -1, -1, (1, 3))","('UNSAT', 0.42017340660095215, -1, -1, -1, (1, 3))","('UNSAT', 0.09340357780456543, -1, -1, -1, (1, 3))","('UNSAT', 0.09412574768066406, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 6.279319763183594, -1, -1, -1, (2, 3))","('UNSAT', 2.760932445526123, -1, -1, -1, (2, 3))","('SAT', -1, 29.0966, 0.083634, 6.159326858324e-06, (2, 3))","('SAT', -1, 23.465, 0.095629, 4.408871518535e-06, (2, 3))","('SAT', -1, 18.772, 0.094638, 3.5653392842509998e-06, (2, 3))","('SAT', -1, 15.0176, 0.094638, 3.1105603284229998e-06, (2, 3))","('SAT', -1, 18.772, 0.114419, 3.380281214049e-06, (2, 3))","('UNSAT', 3.7721590995788574, -1, -1, -1, (2, 3))","('SAT', -1, 29.5659, 0.122924, 6.4829705479499996e-06, (2, 3))","('UNSAT', 0.4711263179779053, -1, -1, -1, (2, 3))","('UNSAT', 1.5512630939483643, -1, -1, -1, (2, 3))","('SAT', -1, 18.3027, 0.098281, 4.68062944492e-06, (2, 3))","('UNSAT', 4.015115261077881, -1, -1, -1, (2, 3))","('UNSAT', 3.670369863510132, -1, -1, -1, (2, 3))","('SAT', -1, 18.3027, 0.10895, 4.538812390820001e-06, (2, 3))","('SAT', -1, 18.3027, 0.10895, 4.538812390820001e-06, (2, 3))"
