iterations,1,2,3,4,5,6,7,8,9,10,11,12
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (0, 1))","('UNSAT', 0.02458024024963379, -1, -1, -1, (0, 1))","('UNSAT', 0.024544477462768555, -1, -1, -1, (0, 1))","('UNSAT', 0.025475263595581055, -1, -1, -1, (0, 1))","('UNSAT', 0.024374961853027344, -1, -1, -1, (0, 1))","('UNSAT', 0.025077342987060547, -1, -1, -1, (0, 1))","('UNSAT', 0.02423572540283203, -1, -1, -1, (0, 1))","('UNSAT', 0.023815155029296875, -1, -1, -1, (0, 1))","('UNSAT', 0.024060964584350586, -1, -1, -1, (0, 1))","('UNSAT', 0.02609705924987793, -1, -1, -1, (0, 1))","('UNSAT', 0.025005817413330078, -1, -1, -1, (0, 1))","('UNSAT', 0.024846792221069336, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.018363237380981445, -1, -1, -1, (1, 1))","('UNSAT', 0.018160104751586914, -1, -1, -1, (1, 1))","('UNSAT', 0.019043684005737305, -1, -1, -1, (1, 1))","('UNSAT', 0.018207311630249023, -1, -1, -1, (1, 1))","('UNSAT', 0.018743276596069336, -1, -1, -1, (1, 1))","('UNSAT', 0.018603086471557617, -1, -1, -1, (1, 1))","('UNSAT', 0.017948389053344727, -1, -1, -1, (1, 1))","('UNSAT', 0.018915653228759766, -1, -1, -1, (1, 1))","('UNSAT', 0.01940298080444336, -1, -1, -1, (1, 1))","('UNSAT', 0.019764423370361328, -1, -1, -1, (1, 1))","('UNSAT', 0.01929640769958496, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04333186149597168, -1, -1, -1, (2, 1))","('UNSAT', 0.04627823829650879, -1, -1, -1, (2, 1))","('UNSAT', 0.045209407806396484, -1, -1, -1, (2, 1))","('UNSAT', 0.044988155364990234, -1, -1, -1, (2, 1))","('UNSAT', 0.04628753662109375, -1, -1, -1, (2, 1))","('UNSAT', 0.04327750205993652, -1, -1, -1, (2, 1))","('UNSAT', 0.04426121711730957, -1, -1, -1, (2, 1))","('UNSAT', 0.04657387733459473, -1, -1, -1, (2, 1))","('UNSAT', 0.04669594764709473, -1, -1, -1, (2, 1))","('UNSAT', 0.04447603225708008, -1, -1, -1, (2, 1))","('UNSAT', 0.04564356803894043, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04480385780334473, -1, -1, -1, (3, 1))","('UNSAT', 0.04443478584289551, -1, -1, -1, (3, 1))","('UNSAT', 0.04630851745605469, -1, -1, -1, (3, 1))","('UNSAT', 0.043151140213012695, -1, -1, -1, (3, 1))","('UNSAT', 0.04389786720275879, -1, -1, -1, (3, 1))","('UNSAT', 0.043879032135009766, -1, -1, -1, (3, 1))","('UNSAT', 0.04382896423339844, -1, -1, -1, (3, 1))","('UNSAT', 0.04485273361206055, -1, -1, -1, (3, 1))","('UNSAT', 0.045722007751464844, -1, -1, -1, (3, 1))","('UNSAT', 0.046340227127075195, -1, -1, -1, (3, 1))","('UNSAT', 0.04559803009033203, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04541945457458496, -1, -1, -1, (4, 1))","('UNSAT', 0.04616546630859375, -1, -1, -1, (4, 1))","('UNSAT', 0.04526662826538086, -1, -1, -1, (4, 1))","('UNSAT', 0.045198678970336914, -1, -1, -1, (4, 1))","('UNSAT', 0.046114206314086914, -1, -1, -1, (4, 1))","('UNSAT', 0.04389476776123047, -1, -1, -1, (4, 1))","('UNSAT', 0.04453444480895996, -1, -1, -1, (4, 1))","('UNSAT', 0.04408860206604004, -1, -1, -1, (4, 1))","('UNSAT', 0.04463338851928711, -1, -1, -1, (4, 1))","('UNSAT', 0.04488825798034668, -1, -1, -1, (4, 1))","('UNSAT', 0.04555320739746094, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.043813228607177734, -1, -1, -1, (5, 1))","('UNSAT', 0.04408907890319824, -1, -1, -1, (5, 1))","('UNSAT', 0.046381473541259766, -1, -1, -1, (5, 1))","('UNSAT', 0.04388737678527832, -1, -1, -1, (5, 1))","('UNSAT', 0.043799638748168945, -1, -1, -1, (5, 1))","('UNSAT', 0.042878150939941406, -1, -1, -1, (5, 1))","('UNSAT', 0.0433197021484375, -1, -1, -1, (5, 1))","('UNSAT', 0.04519200325012207, -1, -1, -1, (5, 1))","('UNSAT', 0.04569816589355469, -1, -1, -1, (5, 1))","('UNSAT', 0.04597902297973633, -1, -1, -1, (5, 1))","('UNSAT', 0.04696249961853027, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.04350900650024414, -1, -1, -1, (6, 1))","('UNSAT', 0.0464932918548584, -1, -1, -1, (6, 1))","('UNSAT', 0.04755449295043945, -1, -1, -1, (6, 1))","('UNSAT', 0.06259417533874512, -1, -1, -1, (6, 1))","('UNSAT', 0.042546987533569336, -1, -1, -1, (6, 1))","('UNSAT', 0.04322004318237305, -1, -1, -1, (6, 1))","('UNSAT', 0.04702639579772949, -1, -1, -1, (6, 1))","('UNSAT', 0.04369473457336426, -1, -1, -1, (6, 1))","('UNSAT', 0.0462946891784668, -1, -1, -1, (6, 1))","('UNSAT', 0.044751882553100586, -1, -1, -1, (6, 1))","('UNSAT', 0.045783281326293945, -1, -1, -1, (6, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.026264429092407227, -1, -1, -1, (1, 2))","('UNSAT', 0.02581000328063965, -1, -1, -1, (1, 2))","('UNSAT', 0.026036977767944336, -1, -1, -1, (1, 2))","('UNSAT', 0.026790142059326172, -1, -1, -1, (1, 2))","('UNSAT', 0.026066303253173828, -1, -1, -1, (1, 2))","('UNSAT', 0.025702238082885742, -1, -1, -1, (1, 2))","('UNSAT', 0.025064945220947266, -1, -1, -1, (1, 2))","('UNSAT', 0.025153636932373047, -1, -1, -1, (1, 2))","('UNSAT', 0.026215791702270508, -1, -1, -1, (1, 2))","('UNSAT', 0.026358604431152344, -1, -1, -1, (1, 2))","('UNSAT', 0.025397539138793945, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))","('SAT', -1, 32.851, 0.171782, 1.403376427334e-05, (2, 2))"
