iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.07506036758422852, -1, -1, -1, (0, 1))","('SAT', 38.08640384674072, 130.4654, 0.495285, 7.935553730931e-05, (0, 1))","('SAT', 38.23505640029907, 120.1408, 0.495578, 8.809363498585e-05, (0, 1))","('SAT', 36.50493669509888, 102.3074, 0.468091, 6.060699888621001e-05, (0, 1))","('SAT', 34.98711276054382, 98.0837, 0.473505, 4.951563823852001e-05, (0, 1))","('SAT', 33.12884211540222, 61.009, 0.328189, 2.025230423897e-05, (0, 1))","('UNSAT', 18.1495361328125, -1, -1, -1, (0, 1))","('UNSAT', 2.535963535308838, -1, -1, -1, (0, 1))","('UNSAT', 2.573647975921631, -1, -1, -1, (0, 1))","('UNSAT', 0.04130887985229492, -1, -1, -1, (0, 1))","('UNSAT', 0.04326772689819336, -1, -1, -1, (0, 1))","('SAT', 27.558403730392456, 37.544, 0.181775, 1.15901357276e-05, (0, 1))","('UNSAT', 2.4943301677703857, -1, -1, -1, (0, 1))","('UNSAT', 0.0502161979675293, -1, -1, -1, (0, 1))","('UNSAT', 2.0966503620147705, -1, -1, -1, (0, 1))","('UNSAT', 2.520260810852051, -1, -1, -1, (0, 1))","('UNSAT', 0.06050419807434082, -1, -1, -1, (0, 1))","('UNSAT', 0.21559572219848633, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.10136032104492188, -1, -1, -1, (1, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 25.432207345962524, 42.7063, 0.212357, 1.4294411812440001e-05, (1, 1))","('UNSAT', 0.3233950138092041, -1, -1, -1, (1, 1))","('UNSAT', 0.20221495628356934, -1, -1, -1, (1, 1))","('UNSAT', 0.10476899147033691, -1, -1, -1, (1, 1))","('UNSAT', 0.1524195671081543, -1, -1, -1, (1, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.5949316024780273, -1, -1, -1, (1, 1))","('UNSAT', 1.3946080207824707, -1, -1, -1, (1, 1))","('UNSAT', 5.08197021484375, -1, -1, -1, (1, 1))","('UNSAT', 2.5001132488250732, -1, -1, -1, (1, 1))","('UNSAT', 0.13221430778503418, -1, -1, -1, (1, 1))","('UNSAT', 0.1087491512298584, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.43292713165283203, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.11763620376586914, -1, -1, -1, (2, 1))","('UNSAT', 0.20266461372375488, -1, -1, -1, (2, 1))","('UNSAT', 1.1544196605682373, -1, -1, -1, (2, 1))","('UNSAT', 1.2054786682128906, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.15217089653015137, -1, -1, -1, (2, 1))","('UNSAT', 0.968745231628418, -1, -1, -1, (2, 1))","('UNSAT', 8.146383047103882, -1, -1, -1, (2, 1))","('UNSAT', 1.1769018173217773, -1, -1, -1, (2, 1))","('UNSAT', 1.124542474746704, -1, -1, -1, (2, 1))","('UNSAT', 1.1366207599639893, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.4369635581970215, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.09046030044555664, -1, -1, -1, (3, 1))","('UNSAT', 0.19996380805969238, -1, -1, -1, (3, 1))","('UNSAT', 2.0956146717071533, -1, -1, -1, (3, 1))","('UNSAT', 1.6785905361175537, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14719796180725098, -1, -1, -1, (3, 1))","('UNSAT', 0.9612605571746826, -1, -1, -1, (3, 1))","('UNSAT', 5.253325939178467, -1, -1, -1, (3, 1))","('UNSAT', 3.5526039600372314, -1, -1, -1, (3, 1))","('UNSAT', 0.22236347198486328, -1, -1, -1, (3, 1))","('UNSAT', 1.1319727897644043, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.4412097930908203, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.08922934532165527, -1, -1, -1, (4, 1))","('UNSAT', 0.20097756385803223, -1, -1, -1, (4, 1))","('UNSAT', 2.1377851963043213, -1, -1, -1, (4, 1))","('UNSAT', 1.6230807304382324, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.15421819686889648, -1, -1, -1, (4, 1))","('UNSAT', 0.9593484401702881, -1, -1, -1, (4, 1))","('UNSAT', 8.038292407989502, -1, -1, -1, (4, 1))","('UNSAT', 1.02095365524292, -1, -1, -1, (4, 1))","('UNSAT', 0.2303175926208496, -1, -1, -1, (4, 1))","('UNSAT', 1.40118408203125, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.4415576457977295, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.08810806274414062, -1, -1, -1, (5, 1))","('UNSAT', 0.20309066772460938, -1, -1, -1, (5, 1))","('UNSAT', 2.1096301078796387, -1, -1, -1, (5, 1))","('UNSAT', 1.4021575450897217, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.15165233612060547, -1, -1, -1, (5, 1))","('UNSAT', 0.9379303455352783, -1, -1, -1, (5, 1))","('UNSAT', 5.213529109954834, -1, -1, -1, (5, 1))","('UNSAT', 1.0121674537658691, -1, -1, -1, (5, 1))","('UNSAT', 0.2242739200592041, -1, -1, -1, (5, 1))","('UNSAT', 1.3817212581634521, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.44396233558654785, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.08659958839416504, -1, -1, -1, (6, 1))","('UNSAT', 0.20069217681884766, -1, -1, -1, (6, 1))","('UNSAT', 2.0914711952209473, -1, -1, -1, (6, 1))","('UNSAT', 1.4005320072174072, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1444413661956787, -1, -1, -1, (6, 1))","('UNSAT', 0.9341163635253906, -1, -1, -1, (6, 1))","('UNSAT', 5.174652338027954, -1, -1, -1, (6, 1))","('UNSAT', 1.0236048698425293, -1, -1, -1, (6, 1))","('UNSAT', 0.22439837455749512, -1, -1, -1, (6, 1))","('UNSAT', 1.3662469387054443, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.4484548568725586, -1, -1, -1, (7, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.0877218246459961, -1, -1, -1, (7, 1))","('UNSAT', 0.2059307098388672, -1, -1, -1, (7, 1))","('UNSAT', 2.1537253856658936, -1, -1, -1, (7, 1))","('UNSAT', 1.4298253059387207, -1, -1, -1, (7, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.14728260040283203, -1, -1, -1, (7, 1))","('UNSAT', 0.9393079280853271, -1, -1, -1, (7, 1))","('UNSAT', 5.004051208496094, -1, -1, -1, (7, 1))","('UNSAT', 1.0091791152954102, -1, -1, -1, (7, 1))","('UNSAT', 0.2260603904724121, -1, -1, -1, (7, 1))","('UNSAT', 1.351741075515747, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.4381258487701416, -1, -1, -1, (8, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.09117507934570312, -1, -1, -1, (8, 1))","('UNSAT', 0.20309233665466309, -1, -1, -1, (8, 1))","('UNSAT', 2.2408289909362793, -1, -1, -1, (8, 1))","('UNSAT', 1.4587593078613281, -1, -1, -1, (8, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.1493818759918213, -1, -1, -1, (8, 1))","('UNSAT', 0.9322154521942139, -1, -1, -1, (8, 1))","('UNSAT', 7.850279092788696, -1, -1, -1, (8, 1))","('UNSAT', 0.9755642414093018, -1, -1, -1, (8, 1))","('UNSAT', 0.22660398483276367, -1, -1, -1, (8, 1))","('UNSAT', 1.3803632259368896, -1, -1, -1, (8, 1))"
