iterations,1,2,3,4,5,6
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.018106937408447266, -1, -1, -1, (0, 1))","('UNSAT', 0.013611316680908203, -1, -1, -1, (0, 1))","('UNSAT', 0.014034271240234375, -1, -1, -1, (0, 1))","('UNSAT', 0.013974189758300781, -1, -1, -1, (0, 1))","('UNSAT', 0.013141870498657227, -1, -1, -1, (0, 1))","('UNSAT', 0.013087749481201172, -1, -1, -1, (0, 1))"
(1X1),"('SAT', 0.27833986282348633, 29.5659, 0.124919, 6.921507520019e-06, (1, 1))","('UNSAT', 0.030081510543823242, -1, -1, -1, (1, 1))","('UNSAT', 0.030547380447387695, -1, -1, -1, (1, 1))","('UNSAT', 0.030246257781982422, -1, -1, -1, (1, 1))","('UNSAT', 0.030057430267333984, -1, -1, -1, (1, 1))","('UNSAT', 0.030593156814575195, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.030276060104370117, -1, -1, -1, (2, 1))","('UNSAT', 0.03227686882019043, -1, -1, -1, (2, 1))","('UNSAT', 0.03081345558166504, -1, -1, -1, (2, 1))","('UNSAT', 0.03212690353393555, -1, -1, -1, (2, 1))","('UNSAT', 0.030920982360839844, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.022551298141479492, -1, -1, -1, (3, 1))","('UNSAT', 0.02440929412841797, -1, -1, -1, (3, 1))","('UNSAT', 0.022569894790649414, -1, -1, -1, (3, 1))","('UNSAT', 0.023713350296020508, -1, -1, -1, (3, 1))","('UNSAT', 0.022807598114013672, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.02461528778076172, -1, -1, -1, (4, 1))","('UNSAT', 0.023864030838012695, -1, -1, -1, (4, 1))","('UNSAT', 0.023079395294189453, -1, -1, -1, (4, 1))","('UNSAT', 0.02272343635559082, -1, -1, -1, (4, 1))","('UNSAT', 0.022985458374023438, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.02382493019104004, -1, -1, -1, (5, 1))","('UNSAT', 0.023168325424194336, -1, -1, -1, (5, 1))","('UNSAT', 0.022516727447509766, -1, -1, -1, (5, 1))","('UNSAT', 0.023162364959716797, -1, -1, -1, (5, 1))","('UNSAT', 0.022779464721679688, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.023064613342285156, -1, -1, -1, (6, 1))","('UNSAT', 0.02429819107055664, -1, -1, -1, (6, 1))","('UNSAT', 0.022268295288085938, -1, -1, -1, (6, 1))","('UNSAT', 0.02273392677307129, -1, -1, -1, (6, 1))","('UNSAT', 0.023313522338867188, -1, -1, -1, (6, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.024419069290161133, -1, -1, -1, (1, 2))","('UNSAT', 0.024927854537963867, -1, -1, -1, (1, 2))","('UNSAT', 0.025470972061157227, -1, -1, -1, (1, 2))","('UNSAT', 0.0241396427154541, -1, -1, -1, (1, 2))","('UNSAT', 0.02460622787475586, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.11448121070861816, -1, -1, -1, (2, 2))","('UNSAT', 0.1132659912109375, -1, -1, -1, (2, 2))","('UNSAT', 0.11346316337585449, -1, -1, -1, (2, 2))","('UNSAT', 0.11741352081298828, -1, -1, -1, (2, 2))","('UNSAT', 0.1184086799621582, -1, -1, -1, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06974077224731445, -1, -1, -1, (3, 2))","('UNSAT', 0.06992602348327637, -1, -1, -1, (3, 2))","('UNSAT', 0.070892333984375, -1, -1, -1, (3, 2))","('UNSAT', 0.06992435455322266, -1, -1, -1, (3, 2))","('UNSAT', 0.07161641120910645, -1, -1, -1, (3, 2))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.07258272171020508, -1, -1, -1, (4, 2))","('UNSAT', 0.08606386184692383, -1, -1, -1, (4, 2))","('UNSAT', 0.0698540210723877, -1, -1, -1, (4, 2))","('UNSAT', 0.07049989700317383, -1, -1, -1, (4, 2))","('UNSAT', 0.0710904598236084, -1, -1, -1, (4, 2))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.06959676742553711, -1, -1, -1, (5, 2))","('UNSAT', 0.06809210777282715, -1, -1, -1, (5, 2))","('UNSAT', 0.07297611236572266, -1, -1, -1, (5, 2))","('UNSAT', 0.0705258846282959, -1, -1, -1, (5, 2))","('UNSAT', 0.07071733474731445, -1, -1, -1, (5, 2))"
