iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.06246352195739746, -1, -1, -1, (0, 1))","('UNSAT', 4.36311936378479, -1, -1, -1, (0, 1))","('SAT', 40.888976097106934, 63.3555, 0.232628, 2.0725587091870005e-05, (0, 1))","('UNSAT', 1.3307409286499023, -1, -1, -1, (0, 1))","('UNSAT', 0.15325307846069336, -1, -1, -1, (0, 1))","('UNSAT', 0.04965615272521973, -1, -1, -1, (0, 1))","('UNSAT', 0.04718279838562012, -1, -1, -1, (0, 1))","('UNSAT', 0.04835152626037598, -1, -1, -1, (0, 1))","('UNSAT', 0.045172929763793945, -1, -1, -1, (0, 1))","('UNSAT', 0.04920005798339844, -1, -1, -1, (0, 1))","('UNSAT', 0.0485224723815918, -1, -1, -1, (0, 1))","('UNSAT', 0.04914212226867676, -1, -1, -1, (0, 1))","('UNSAT', 0.047040462493896484, -1, -1, -1, (0, 1))","('UNSAT', 0.04838871955871582, -1, -1, -1, (0, 1))","('UNSAT', 0.048517465591430664, -1, -1, -1, (0, 1))","('UNSAT', 0.048117876052856445, -1, -1, -1, (0, 1))","('UNSAT', 0.04752969741821289, -1, -1, -1, (0, 1))","('UNSAT', 0.04769253730773926, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.09890580177307129, -1, -1, -1, (1, 1))","('UNSAT', 9.030627965927124, -1, -1, -1, (1, 1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 31.483458518981934, 31.9124, 0.135187, 7.135161922633e-06, (1, 1))","('UNSAT', 5.025153398513794, -1, -1, -1, (1, 1))","('UNSAT', 0.04972124099731445, -1, -1, -1, (1, 1))","('UNSAT', 0.04766345024108887, -1, -1, -1, (1, 1))","('UNSAT', 0.04940032958984375, -1, -1, -1, (1, 1))","('UNSAT', 0.04573822021484375, -1, -1, -1, (1, 1))","('UNSAT', 0.048091888427734375, -1, -1, -1, (1, 1))","('UNSAT', 0.04925680160522461, -1, -1, -1, (1, 1))","('UNSAT', 0.04951620101928711, -1, -1, -1, (1, 1))","('UNSAT', 0.047940731048583984, -1, -1, -1, (1, 1))","('UNSAT', 0.04893136024475098, -1, -1, -1, (1, 1))","('UNSAT', 0.04819536209106445, -1, -1, -1, (1, 1))","('UNSAT', 0.05066490173339844, -1, -1, -1, (1, 1))","('UNSAT', 0.04813528060913086, -1, -1, -1, (1, 1))","('UNSAT', 0.04769134521484375, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 15.069159030914307, -1, -1, -1, (2, 1))","('UNSAT', 10.638200044631958, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 9.514394998550415, -1, -1, -1, (2, 1))","('UNSAT', 8.90109920501709, -1, -1, -1, (2, 1))","('UNSAT', 8.113352298736572, -1, -1, -1, (2, 1))","('UNSAT', 8.161864995956421, -1, -1, -1, (2, 1))","('UNSAT', 7.639179229736328, -1, -1, -1, (2, 1))","('UNSAT', 8.151174545288086, -1, -1, -1, (2, 1))","('UNSAT', 8.39357614517212, -1, -1, -1, (2, 1))","('UNSAT', 8.437055349349976, -1, -1, -1, (2, 1))","('UNSAT', 8.126758337020874, -1, -1, -1, (2, 1))","('UNSAT', 7.913308143615723, -1, -1, -1, (2, 1))","('UNSAT', 8.41194748878479, -1, -1, -1, (2, 1))","('UNSAT', 10.048942565917969, -1, -1, -1, (2, 1))","('UNSAT', 7.397808790206909, -1, -1, -1, (2, 1))","('UNSAT', 8.620582818984985, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 8.404535293579102, -1, -1, -1, (3, 1))","('UNSAT', 7.952488899230957, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 4.5262370109558105, -1, -1, -1, (3, 1))","('UNSAT', 0.15143489837646484, -1, -1, -1, (3, 1))","('UNSAT', 0.1492929458618164, -1, -1, -1, (3, 1))","('UNSAT', 0.14684844017028809, -1, -1, -1, (3, 1))","('UNSAT', 0.1423649787902832, -1, -1, -1, (3, 1))","('UNSAT', 0.1524672508239746, -1, -1, -1, (3, 1))","('UNSAT', 0.14801025390625, -1, -1, -1, (3, 1))","('UNSAT', 0.15572810173034668, -1, -1, -1, (3, 1))","('UNSAT', 0.14770793914794922, -1, -1, -1, (3, 1))","('UNSAT', 0.14127278327941895, -1, -1, -1, (3, 1))","('UNSAT', 0.1488783359527588, -1, -1, -1, (3, 1))","('UNSAT', 0.15652036666870117, -1, -1, -1, (3, 1))","('UNSAT', 0.13486552238464355, -1, -1, -1, (3, 1))","('UNSAT', 0.14816999435424805, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 15.259710788726807, -1, -1, -1, (4, 1))","('UNSAT', 12.630828619003296, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.210453510284424, -1, -1, -1, (4, 1))","('UNSAT', 3.1643433570861816, -1, -1, -1, (4, 1))","('UNSAT', 3.0775156021118164, -1, -1, -1, (4, 1))","('UNSAT', 3.0551388263702393, -1, -1, -1, (4, 1))","('UNSAT', 2.9003758430480957, -1, -1, -1, (4, 1))","('UNSAT', 3.151073694229126, -1, -1, -1, (4, 1))","('UNSAT', 3.096092462539673, -1, -1, -1, (4, 1))","('UNSAT', 3.115063428878784, -1, -1, -1, (4, 1))","('UNSAT', 3.073943614959717, -1, -1, -1, (4, 1))","('UNSAT', 3.0143439769744873, -1, -1, -1, (4, 1))","('UNSAT', 3.1294519901275635, -1, -1, -1, (4, 1))","('UNSAT', 3.235687255859375, -1, -1, -1, (4, 1))","('UNSAT', 2.818544387817383, -1, -1, -1, (4, 1))","('UNSAT', 3.1078152656555176, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 13.36456847190857, -1, -1, -1, (5, 1))","('UNSAT', 17.13728666305542, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.2347729206085205, -1, -1, -1, (5, 1))","('UNSAT', 6.82841682434082, -1, -1, -1, (5, 1))","('UNSAT', 6.8617634773254395, -1, -1, -1, (5, 1))","('UNSAT', 7.2471137046813965, -1, -1, -1, (5, 1))","('UNSAT', 6.428745746612549, -1, -1, -1, (5, 1))","('UNSAT', 7.126561403274536, -1, -1, -1, (5, 1))","('UNSAT', 7.033012866973877, -1, -1, -1, (5, 1))","('UNSAT', 6.9479660987854, -1, -1, -1, (5, 1))","('UNSAT', 6.857831954956055, -1, -1, -1, (5, 1))","('UNSAT', 6.716984033584595, -1, -1, -1, (5, 1))","('UNSAT', 6.984007358551025, -1, -1, -1, (5, 1))","('UNSAT', 6.984033823013306, -1, -1, -1, (5, 1))","('UNSAT', 7.607290983200073, -1, -1, -1, (5, 1))","('UNSAT', 7.378791332244873, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 6.5817601680755615, -1, -1, -1, (6, 1))","('UNSAT', 16.775972366333008, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.217971324920654, -1, -1, -1, (6, 1))","('UNSAT', 6.805986642837524, -1, -1, -1, (6, 1))","('UNSAT', 7.4635655879974365, -1, -1, -1, (6, 1))","('UNSAT', 6.833386182785034, -1, -1, -1, (6, 1))","('UNSAT', 6.520941972732544, -1, -1, -1, (6, 1))","('UNSAT', 7.00999116897583, -1, -1, -1, (6, 1))","('UNSAT', 6.575838088989258, -1, -1, -1, (6, 1))","('UNSAT', 7.035470724105835, -1, -1, -1, (6, 1))","('UNSAT', 6.800702810287476, -1, -1, -1, (6, 1))","('UNSAT', 6.602063179016113, -1, -1, -1, (6, 1))","('UNSAT', 6.976423501968384, -1, -1, -1, (6, 1))","('UNSAT', 6.900402545928955, -1, -1, -1, (6, 1))","('UNSAT', 6.964277505874634, -1, -1, -1, (6, 1))","('UNSAT', 7.1674885749816895, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 10.584038019180298, -1, -1, -1, (7, 1))","('UNSAT', 15.512195825576782, -1, -1, -1, (7, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.301918029785156, -1, -1, -1, (7, 1))","('UNSAT', 6.800346612930298, -1, -1, -1, (7, 1))","('UNSAT', 7.326108694076538, -1, -1, -1, (7, 1))","('UNSAT', 6.61143684387207, -1, -1, -1, (7, 1))","('UNSAT', 6.56564736366272, -1, -1, -1, (7, 1))","('UNSAT', 6.96622896194458, -1, -1, -1, (7, 1))","('UNSAT', 6.6129395961761475, -1, -1, -1, (7, 1))","('UNSAT', 7.403747797012329, -1, -1, -1, (7, 1))","('UNSAT', 6.800691366195679, -1, -1, -1, (7, 1))","('UNSAT', 6.5234386920928955, -1, -1, -1, (7, 1))","('UNSAT', 6.962307453155518, -1, -1, -1, (7, 1))","('UNSAT', 7.506468057632446, -1, -1, -1, (7, 1))","('UNSAT', 6.84264349937439, -1, -1, -1, (7, 1))","('UNSAT', 6.797618865966797, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 1.8504512310028076, -1, -1, -1, (8, 1))","('UNSAT', 15.22730278968811, -1, -1, -1, (8, 1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.257735013961792, -1, -1, -1, (8, 1))","('UNSAT', 3.0295512676239014, -1, -1, -1, (8, 1))","('UNSAT', 3.0518836975097656, -1, -1, -1, (8, 1))","('UNSAT', 2.976215362548828, -1, -1, -1, (8, 1))","('UNSAT', 3.032294511795044, -1, -1, -1, (8, 1))","('UNSAT', 3.1587111949920654, -1, -1, -1, (8, 1))","('UNSAT', 2.8546502590179443, -1, -1, -1, (8, 1))","('UNSAT', 3.0665788650512695, -1, -1, -1, (8, 1))","('UNSAT', 3.0446548461914062, -1, -1, -1, (8, 1))","('UNSAT', 2.8438243865966797, -1, -1, -1, (8, 1))","('UNSAT', 2.977149724960327, -1, -1, -1, (8, 1))","('UNSAT', 3.114936113357544, -1, -1, -1, (8, 1))","('UNSAT', 2.901736259460449, -1, -1, -1, (8, 1))","('UNSAT', 3.077667236328125, -1, -1, -1, (8, 1))"
