iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(9X1),"('UNSAT', 0.10365986824035645, -1, -1, -1, (9, 1))","('UNSAT', 0.1268908977508545, -1, -1, -1, (9, 1))","('UNSAT', 0.12752294540405273, -1, -1, -1, (9, 1))","('UNSAT', 0.10389971733093262, -1, -1, -1, (9, 1))","('UNSAT', 0.1362743377685547, -1, -1, -1, (9, 1))","('UNSAT', 0.10077738761901855, -1, -1, -1, (9, 1))","('UNSAT', 0.13181543350219727, -1, -1, -1, (9, 1))","('UNSAT', 0.10348200798034668, -1, -1, -1, (9, 1))","('UNSAT', 0.12697672843933105, -1, -1, -1, (9, 1))","('UNSAT', 0.1017313003540039, -1, -1, -1, (9, 1))","('UNSAT', 0.13644909858703613, -1, -1, -1, (9, 1))","('UNSAT', 0.1040337085723877, -1, -1, -1, (9, 1))","('UNSAT', 0.1273336410522461, -1, -1, -1, (9, 1))","('UNSAT', 0.10022401809692383, -1, -1, -1, (9, 1))","('UNSAT', 0.12712645530700684, -1, -1, -1, (9, 1))","('UNSAT', 0.1006784439086914, -1, -1, -1, (9, 1))","('UNSAT', 0.1291646957397461, -1, -1, -1, (9, 1))","('UNSAT', 0.10084414482116699, -1, -1, -1, (9, 1))","('UNSAT', 0.12587499618530273, -1, -1, -1, (9, 1))","('UNSAT', 0.10252547264099121, -1, -1, -1, (9, 1))"
(10X1),"('UNSAT', 0.1035618782043457, -1, -1, -1, (10, 1))","('UNSAT', 0.12507867813110352, -1, -1, -1, (10, 1))","('UNSAT', 0.1258072853088379, -1, -1, -1, (10, 1))","('UNSAT', 0.1035451889038086, -1, -1, -1, (10, 1))","('UNSAT', 0.12559175491333008, -1, -1, -1, (10, 1))","('UNSAT', 0.10821318626403809, -1, -1, -1, (10, 1))","('UNSAT', 0.13098835945129395, -1, -1, -1, (10, 1))","('UNSAT', 0.10211586952209473, -1, -1, -1, (10, 1))","('UNSAT', 0.12682747840881348, -1, -1, -1, (10, 1))","('UNSAT', 0.10222458839416504, -1, -1, -1, (10, 1))","('UNSAT', 0.12782883644104004, -1, -1, -1, (10, 1))","('UNSAT', 0.10287308692932129, -1, -1, -1, (10, 1))","('UNSAT', 0.12273859977722168, -1, -1, -1, (10, 1))","('UNSAT', 0.10031652450561523, -1, -1, -1, (10, 1))","('UNSAT', 0.12477612495422363, -1, -1, -1, (10, 1))","('UNSAT', 0.10573744773864746, -1, -1, -1, (10, 1))","('UNSAT', 0.12413477897644043, -1, -1, -1, (10, 1))","('UNSAT', 0.10048317909240723, -1, -1, -1, (10, 1))","('UNSAT', 0.12106895446777344, -1, -1, -1, (10, 1))","('UNSAT', 0.10170650482177734, -1, -1, -1, (10, 1))"
(1X2),"('UNSAT', 0.10431385040283203, -1, -1, -1, (1, 2))","('UNSAT', 0.10381102561950684, -1, -1, -1, (1, 2))","('UNSAT', 0.1070554256439209, -1, -1, -1, (1, 2))","('UNSAT', 0.10453200340270996, -1, -1, -1, (1, 2))","('UNSAT', 0.10285353660583496, -1, -1, -1, (1, 2))","('UNSAT', 0.10901379585266113, -1, -1, -1, (1, 2))","('UNSAT', 0.10629081726074219, -1, -1, -1, (1, 2))","('UNSAT', 0.10237884521484375, -1, -1, -1, (1, 2))","('UNSAT', 0.10396909713745117, -1, -1, -1, (1, 2))","('UNSAT', 0.1027839183807373, -1, -1, -1, (1, 2))","('UNSAT', 0.10672760009765625, -1, -1, -1, (1, 2))","('UNSAT', 0.10760712623596191, -1, -1, -1, (1, 2))","('UNSAT', 0.10336446762084961, -1, -1, -1, (1, 2))","('UNSAT', 0.10251045227050781, -1, -1, -1, (1, 2))","('UNSAT', 0.104736328125, -1, -1, -1, (1, 2))","('UNSAT', 0.10751533508300781, -1, -1, -1, (1, 2))","('UNSAT', 0.10381150245666504, -1, -1, -1, (1, 2))","('UNSAT', 0.10079288482666016, -1, -1, -1, (1, 2))","('UNSAT', 0.10228276252746582, -1, -1, -1, (1, 2))","('UNSAT', 0.1103200912475586, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.10453152656555176, -1, -1, -1, (2, 2))","('UNSAT', 0.18630051612854004, -1, -1, -1, (2, 2))","('UNSAT', 0.1923072338104248, -1, -1, -1, (2, 2))","('UNSAT', 0.10500454902648926, -1, -1, -1, (2, 2))","('UNSAT', 0.18214702606201172, -1, -1, -1, (2, 2))","('UNSAT', 0.10412287712097168, -1, -1, -1, (2, 2))","('UNSAT', 0.20058131217956543, -1, -1, -1, (2, 2))","('UNSAT', 0.10383343696594238, -1, -1, -1, (2, 2))","('UNSAT', 0.1916797161102295, -1, -1, -1, (2, 2))","('UNSAT', 0.10270476341247559, -1, -1, -1, (2, 2))","('UNSAT', 0.19999122619628906, -1, -1, -1, (2, 2))","('UNSAT', 0.10588383674621582, -1, -1, -1, (2, 2))","('UNSAT', 0.18714523315429688, -1, -1, -1, (2, 2))","('UNSAT', 0.10286593437194824, -1, -1, -1, (2, 2))","('UNSAT', 0.18807196617126465, -1, -1, -1, (2, 2))","('UNSAT', 0.10368132591247559, -1, -1, -1, (2, 2))","('UNSAT', 0.1891307830810547, -1, -1, -1, (2, 2))","('UNSAT', 0.1026918888092041, -1, -1, -1, (2, 2))","('UNSAT', 0.17966794967651367, -1, -1, -1, (2, 2))","('UNSAT', 0.10353755950927734, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.10490775108337402, -1, -1, -1, (3, 2))","('UNSAT', 0.1913611888885498, -1, -1, -1, (3, 2))","('UNSAT', 0.20084047317504883, -1, -1, -1, (3, 2))","('UNSAT', 0.10495376586914062, -1, -1, -1, (3, 2))","('UNSAT', 0.18587565422058105, -1, -1, -1, (3, 2))","('UNSAT', 0.10233783721923828, -1, -1, -1, (3, 2))","('UNSAT', 0.1952054500579834, -1, -1, -1, (3, 2))","('UNSAT', 0.10221052169799805, -1, -1, -1, (3, 2))","('UNSAT', 0.19504427909851074, -1, -1, -1, (3, 2))","('UNSAT', 0.10157418251037598, -1, -1, -1, (3, 2))","('UNSAT', 0.19774532318115234, -1, -1, -1, (3, 2))","('UNSAT', 0.10640430450439453, -1, -1, -1, (3, 2))","('UNSAT', 0.19910049438476562, -1, -1, -1, (3, 2))","('UNSAT', 0.10247945785522461, -1, -1, -1, (3, 2))","('UNSAT', 0.18574309349060059, -1, -1, -1, (3, 2))","('UNSAT', 0.10362863540649414, -1, -1, -1, (3, 2))","('UNSAT', 0.19492602348327637, -1, -1, -1, (3, 2))","('UNSAT', 0.10794258117675781, -1, -1, -1, (3, 2))","('UNSAT', 0.1810910701751709, -1, -1, -1, (3, 2))","('UNSAT', 0.10191583633422852, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.10458755493164062, -1, -1, -1, (4, 2))","('UNSAT', 0.18255233764648438, -1, -1, -1, (4, 2))","('UNSAT', 0.18892335891723633, -1, -1, -1, (4, 2))","('UNSAT', 0.10468316078186035, -1, -1, -1, (4, 2))","('UNSAT', 0.18355727195739746, -1, -1, -1, (4, 2))","('UNSAT', 0.1018073558807373, -1, -1, -1, (4, 2))","('UNSAT', 0.19975614547729492, -1, -1, -1, (4, 2))","('UNSAT', 0.1027226448059082, -1, -1, -1, (4, 2))","('UNSAT', 0.19071674346923828, -1, -1, -1, (4, 2))","('UNSAT', 0.10325503349304199, -1, -1, -1, (4, 2))","('UNSAT', 0.1947493553161621, -1, -1, -1, (4, 2))","('UNSAT', 0.10736751556396484, -1, -1, -1, (4, 2))","('UNSAT', 0.1892397403717041, -1, -1, -1, (4, 2))","('UNSAT', 0.10157966613769531, -1, -1, -1, (4, 2))","('UNSAT', 0.1849076747894287, -1, -1, -1, (4, 2))","('UNSAT', 0.10920023918151855, -1, -1, -1, (4, 2))","('UNSAT', 0.18748855590820312, -1, -1, -1, (4, 2))","('UNSAT', 0.10301041603088379, -1, -1, -1, (4, 2))","('UNSAT', 0.17911887168884277, -1, -1, -1, (4, 2))","('UNSAT', 0.10186362266540527, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.10413360595703125, -1, -1, -1, (5, 2))","('UNSAT', 0.18561553955078125, -1, -1, -1, (5, 2))","('UNSAT', 0.1963038444519043, -1, -1, -1, (5, 2))","('UNSAT', 0.11210489273071289, -1, -1, -1, (5, 2))","('UNSAT', 0.18349981307983398, -1, -1, -1, (5, 2))","('UNSAT', 0.10237741470336914, -1, -1, -1, (5, 2))","('UNSAT', 0.19749855995178223, -1, -1, -1, (5, 2))","('UNSAT', 0.10375714302062988, -1, -1, -1, (5, 2))","('UNSAT', 0.18956398963928223, -1, -1, -1, (5, 2))","('UNSAT', 0.10160422325134277, -1, -1, -1, (5, 2))","('UNSAT', 0.19928598403930664, -1, -1, -1, (5, 2))","('UNSAT', 0.10783934593200684, -1, -1, -1, (5, 2))","('UNSAT', 0.18601465225219727, -1, -1, -1, (5, 2))","('UNSAT', 0.10328340530395508, -1, -1, -1, (5, 2))","('UNSAT', 0.19226503372192383, -1, -1, -1, (5, 2))","('UNSAT', 0.10128355026245117, -1, -1, -1, (5, 2))","('UNSAT', 0.18652701377868652, -1, -1, -1, (5, 2))","('UNSAT', 0.1024177074432373, -1, -1, -1, (5, 2))","('UNSAT', 0.18772625923156738, -1, -1, -1, (5, 2))","('UNSAT', 0.11652708053588867, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.10460662841796875, -1, -1, -1, (6, 2))","('UNSAT', 0.18520092964172363, -1, -1, -1, (6, 2))","('UNSAT', 0.19179511070251465, -1, -1, -1, (6, 2))","('UNSAT', 0.10508394241333008, -1, -1, -1, (6, 2))","('UNSAT', 0.18178749084472656, -1, -1, -1, (6, 2))","('UNSAT', 0.10508275032043457, -1, -1, -1, (6, 2))","('UNSAT', 0.19849514961242676, -1, -1, -1, (6, 2))","('UNSAT', 0.1034250259399414, -1, -1, -1, (6, 2))","('UNSAT', 0.18602466583251953, -1, -1, -1, (6, 2))","('UNSAT', 0.10239553451538086, -1, -1, -1, (6, 2))","('UNSAT', 0.19521522521972656, -1, -1, -1, (6, 2))","('UNSAT', 0.10091114044189453, -1, -1, -1, (6, 2))","('UNSAT', 0.18419814109802246, -1, -1, -1, (6, 2))","('UNSAT', 0.1024637222290039, -1, -1, -1, (6, 2))","('UNSAT', 0.19353342056274414, -1, -1, -1, (6, 2))","('UNSAT', 0.10239171981811523, -1, -1, -1, (6, 2))","('UNSAT', 0.18879413604736328, -1, -1, -1, (6, 2))","('UNSAT', 0.1028280258178711, -1, -1, -1, (6, 2))","('UNSAT', 0.1918351650238037, -1, -1, -1, (6, 2))","('UNSAT', 0.1023416519165039, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.10468649864196777, -1, -1, -1, (7, 2))","('UNSAT', 0.18602299690246582, -1, -1, -1, (7, 2))","('UNSAT', 0.18327879905700684, -1, -1, -1, (7, 2))","('UNSAT', 0.10515952110290527, -1, -1, -1, (7, 2))","('UNSAT', 0.18555855751037598, -1, -1, -1, (7, 2))","('UNSAT', 0.10228347778320312, -1, -1, -1, (7, 2))","('UNSAT', 0.19672417640686035, -1, -1, -1, (7, 2))","('UNSAT', 0.10309481620788574, -1, -1, -1, (7, 2))","('UNSAT', 0.19826602935791016, -1, -1, -1, (7, 2))","('UNSAT', 0.1079859733581543, -1, -1, -1, (7, 2))","('UNSAT', 0.19049954414367676, -1, -1, -1, (7, 2))","('UNSAT', 0.10313010215759277, -1, -1, -1, (7, 2))","('UNSAT', 0.1872878074645996, -1, -1, -1, (7, 2))","('UNSAT', 0.10373425483703613, -1, -1, -1, (7, 2))","('UNSAT', 0.18855953216552734, -1, -1, -1, (7, 2))","('UNSAT', 0.10245037078857422, -1, -1, -1, (7, 2))","('UNSAT', 0.23223662376403809, -1, -1, -1, (7, 2))","('UNSAT', 0.10182642936706543, -1, -1, -1, (7, 2))","('UNSAT', 0.18643403053283691, -1, -1, -1, (7, 2))","('UNSAT', 0.10277843475341797, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.1114506721496582, -1, -1, -1, (8, 2))","('UNSAT', 0.18424224853515625, -1, -1, -1, (8, 2))","('UNSAT', 0.18604350090026855, -1, -1, -1, (8, 2))","('UNSAT', 0.105072021484375, -1, -1, -1, (8, 2))","('UNSAT', 0.18172836303710938, -1, -1, -1, (8, 2))","('UNSAT', 0.10253167152404785, -1, -1, -1, (8, 2))","('UNSAT', 0.19140124320983887, -1, -1, -1, (8, 2))","('UNSAT', 0.10666656494140625, -1, -1, -1, (8, 2))","('UNSAT', 0.19070744514465332, -1, -1, -1, (8, 2))","('UNSAT', 0.10486960411071777, -1, -1, -1, (8, 2))","('UNSAT', 0.19309020042419434, -1, -1, -1, (8, 2))","('UNSAT', 0.10710668563842773, -1, -1, -1, (8, 2))","('UNSAT', 0.19134998321533203, -1, -1, -1, (8, 2))","('UNSAT', 0.10271930694580078, -1, -1, -1, (8, 2))","('UNSAT', 0.19113945960998535, -1, -1, -1, (8, 2))","('UNSAT', 0.10272932052612305, -1, -1, -1, (8, 2))","('UNSAT', 0.18916583061218262, -1, -1, -1, (8, 2))","('UNSAT', 0.10248303413391113, -1, -1, -1, (8, 2))","('UNSAT', 0.18780732154846191, -1, -1, -1, (8, 2))","('UNSAT', 0.10256338119506836, -1, -1, -1, (8, 2))"
