iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(9X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 42.58115553855896, -1, -1, -1, (9, 1))","('UNSAT', 46.10264849662781, -1, -1, -1, (9, 1))","('UNSAT', 48.20903468132019, -1, -1, -1, (9, 1))","('UNSAT', 43.45672106742859, -1, -1, -1, (9, 1))","('UNSAT', 45.22720718383789, -1, -1, -1, (9, 1))","('UNSAT', 46.21318793296814, -1, -1, -1, (9, 1))","('UNSAT', 47.23109459877014, -1, -1, -1, (9, 1))","('UNSAT', 46.231595277786255, -1, -1, -1, (9, 1))","('UNSAT', 42.21992230415344, -1, -1, -1, (9, 1))","('UNSAT', 51.319193840026855, -1, -1, -1, (9, 1))","('UNSAT', 51.98124670982361, -1, -1, -1, (9, 1))","('UNSAT', 41.54786014556885, -1, -1, -1, (9, 1))","('UNSAT', 46.894866704940796, -1, -1, -1, (9, 1))","('UNSAT', 42.07865905761719, -1, -1, -1, (9, 1))","('UNSAT', 42.55329203605652, -1, -1, -1, (9, 1))","('UNSAT', 46.946378231048584, -1, -1, -1, (9, 1))"
(10X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 42.670778036117554, -1, -1, -1, (10, 1))","('UNSAT', 50.859686851501465, -1, -1, -1, (10, 1))","('UNSAT', 45.82457232475281, -1, -1, -1, (10, 1))","('UNSAT', 44.66705679893494, -1, -1, -1, (10, 1))","('UNSAT', 45.52696681022644, -1, -1, -1, (10, 1))","('UNSAT', 44.64666557312012, -1, -1, -1, (10, 1))","('UNSAT', 45.69603395462036, -1, -1, -1, (10, 1))","('UNSAT', 43.06696796417236, -1, -1, -1, (10, 1))","('UNSAT', 45.063987731933594, -1, -1, -1, (10, 1))","('UNSAT', 47.34924268722534, -1, -1, -1, (10, 1))","('UNSAT', 44.00776433944702, -1, -1, -1, (10, 1))","('UNSAT', 49.53497648239136, -1, -1, -1, (10, 1))","('UNSAT', 45.79338264465332, -1, -1, -1, (10, 1))","('UNSAT', 41.68587112426758, -1, -1, -1, (10, 1))","('UNSAT', 46.49970889091492, -1, -1, -1, (10, 1))","('UNSAT', 49.58401131629944, -1, -1, -1, (10, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 44.144007205963135, -1, -1, -1, (1, 2))","('UNSAT', 44.50943040847778, -1, -1, -1, (1, 2))","('UNSAT', 40.565863370895386, -1, -1, -1, (1, 2))","('UNSAT', 41.70372772216797, -1, -1, -1, (1, 2))","('UNSAT', 40.20054745674133, -1, -1, -1, (1, 2))","('UNSAT', 38.69123077392578, -1, -1, -1, (1, 2))","('UNSAT', 39.79231786727905, -1, -1, -1, (1, 2))","('UNSAT', 43.67257308959961, -1, -1, -1, (1, 2))","('UNSAT', 45.300453186035156, -1, -1, -1, (1, 2))","('UNSAT', 39.8867871761322, -1, -1, -1, (1, 2))","('UNSAT', 40.5293607711792, -1, -1, -1, (1, 2))","('UNSAT', 43.37089419364929, -1, -1, -1, (1, 2))","('UNSAT', 41.95975661277771, -1, -1, -1, (1, 2))","('UNSAT', 37.52717685699463, -1, -1, -1, (1, 2))","('UNSAT', 43.24714660644531, -1, -1, -1, (1, 2))","('UNSAT', 40.68575119972229, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 66.68806791305542, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 66.36595892906189, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 75.34067058563232, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 73.51012086868286, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 71.34559154510498, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 67.55913352966309, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 73.1746392250061, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 68.07694149017334, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 64.32626724243164, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 65.40835642814636, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 69.47283220291138, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 75.62714338302612, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 71.1870470046997, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 74.02481126785278, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 71.92822241783142, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))","('SAT', 72.12230825424194, 13.1404, 0.040805, 2.634978500282e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(7X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(8X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
