iterations,1
(1X14),"('Unexplored', None, None, None, None, (-1, -1))"
(2X14),"('Unexplored', None, None, None, None, (-1, -1))"
(3X14),"('Unexplored', None, None, None, None, (-1, -1))"
(4X14),"('Unexplored', None, None, None, None, (-1, -1))"
(5X14),"('Unexplored', None, None, None, None, (-1, -1))"
(6X14),"('Unexplored', None, None, None, None, (-1, -1))"
(7X14),"('Unexplored', None, None, None, None, (-1, -1))"
(8X14),"('Unexplored', None, None, None, None, (-1, -1))"
(1X15),"('Unexplored', None, None, None, None, (-1, -1))"
(2X15),"('Unexplored', None, None, None, None, (-1, -1))"
(3X15),"('Unexplored', None, None, None, None, (-1, -1))"
(4X15),"('Unexplored', None, None, None, None, (-1, -1))"
(5X15),"('Unexplored', None, None, None, None, (-1, -1))"
(6X15),"('Unexplored', None, None, None, None, (-1, -1))"
(7X15),"('Unexplored', None, None, None, None, (-1, -1))"
(8X15),"('Unexplored', None, None, None, None, (-1, -1))"
(1X16),"('Unexplored', None, None, None, None, (-1, -1))"
(2X16),"('Unexplored', None, None, None, None, (-1, -1))"
(3X16),"('Unexplored', None, None, None, None, (-1, -1))"
(4X16),"('Unexplored', None, None, None, None, (-1, -1))"
(5X16),"('Unexplored', None, None, None, None, (-1, -1))"
(6X16),"('Unexplored', None, None, None, None, (-1, -1))"
(7X16),"('Unexplored', None, None, None, None, (-1, -1))"
(8X16),"('Unexplored', None, None, None, None, (-1, -1))"
