iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.05389213562011719, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.025097370147705078, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.042981624603271484, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.023602962493896484, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.02350592613220215, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.023604393005371094, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.023679494857788086, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.023597240447998047, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.02389669418334961, -1, -1, -1, (8, 1))"
(1X2),"('UNSAT', 0.0682375431060791, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.07726573944091797, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.07792305946350098, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.12651729583740234, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.11548280715942383, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.09665036201477051, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.07391238212585449, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.08626270294189453, -1, -1, -1, (8, 2))"
(1X3),"('UNSAT', 0.1389467716217041, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 0.143965482711792, -1, -1, -1, (2, 3))"
(3X3),"('UNSAT', 0.29114413261413574, -1, -1, -1, (3, 3))"
(4X3),"('UNSAT', 0.24487829208374023, -1, -1, -1, (4, 3))"
(5X3),"('UNSAT', 0.23057913780212402, -1, -1, -1, (5, 3))"
(6X3),"('UNSAT', 0.23718976974487305, -1, -1, -1, (6, 3))"
(7X3),"('UNSAT', 0.24255824089050293, -1, -1, -1, (7, 3))"
(8X3),"('UNSAT', 0.15407323837280273, -1, -1, -1, (8, 3))"
(1X4),"('UNSAT', 0.1683816909790039, -1, -1, -1, (1, 4))"
(2X4),"('UNSAT', 0.32738709449768066, -1, -1, -1, (2, 4))"
(3X4),"('UNSAT', 0.5401022434234619, -1, -1, -1, (3, 4))"
(4X4),"('UNSAT', 0.9559223651885986, -1, -1, -1, (4, 4))"
(5X4),"('UNSAT', 0.7801403999328613, -1, -1, -1, (5, 4))"
(6X4),"('UNSAT', 0.901238203048706, -1, -1, -1, (6, 4))"
(7X4),"('UNSAT', 0.6961698532104492, -1, -1, -1, (7, 4))"
(8X4),"('UNSAT', 0.627586841583252, -1, -1, -1, (8, 4))"
(1X5),"('UNSAT', 0.20633411407470703, -1, -1, -1, (1, 5))"
(2X5),"('UNSAT', 0.5787420272827148, -1, -1, -1, (2, 5))"
(3X5),"('UNSAT', 3.162552833557129, -1, -1, -1, (3, 5))"
