iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.02475142478942871, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.04452681541442871, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.05407977104187012, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.055867671966552734, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.0727682113647461, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.041167497634887695, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.0947265625, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.04206109046936035, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.09218740463256836, -1, -1, -1, (8, 1))"
(1X2),"('UNSAT', 0.07440614700317383, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.12133216857910156, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.18442177772521973, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.3276183605194092, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.3834655284881592, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.5496785640716553, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.2781805992126465, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.3168215751647949, -1, -1, -1, (8, 2))"
(1X3),"('UNSAT', 0.20946455001831055, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 0.4097476005554199, -1, -1, -1, (2, 3))"
(3X3),"('UNSAT', 0.6260557174682617, -1, -1, -1, (3, 3))"
(4X3),"('UNSAT', 0.6686818599700928, -1, -1, -1, (4, 3))"
(5X3),"('UNSAT', 0.7424802780151367, -1, -1, -1, (5, 3))"
(6X3),"('UNSAT', 0.7035112380981445, -1, -1, -1, (6, 3))"
(7X3),"('UNSAT', 0.9106793403625488, -1, -1, -1, (7, 3))"
(8X3),"('UNSAT', 0.63273024559021, -1, -1, -1, (8, 3))"
(1X4),"('UNSAT', 0.2008652687072754, -1, -1, -1, (1, 4))"
(2X4),"('UNSAT', 0.38182902336120605, -1, -1, -1, (2, 4))"
(3X4),"('UNSAT', 0.9952850341796875, -1, -1, -1, (3, 4))"
(4X4),"('UNSAT', 2.1115148067474365, -1, -1, -1, (4, 4))"
(5X4),"('UNSAT', 2.0796663761138916, -1, -1, -1, (5, 4))"
(6X4),"('UNSAT', 2.62624454498291, -1, -1, -1, (6, 4))"
(7X4),"('UNSAT', 2.4126534461975098, -1, -1, -1, (7, 4))"
(8X4),"('UNSAT', 2.3868331909179688, -1, -1, -1, (8, 4))"
(1X5),"('UNSAT', 0.2939286231994629, -1, -1, -1, (1, 5))"
(2X5),"('UNSAT', 1.0709228515625, -1, -1, -1, (2, 5))"
(3X5),"('UNSAT', 2.54888916015625, -1, -1, -1, (3, 5))"
(4X5),"('UNSAT', 6.476929187774658, -1, -1, -1, (4, 5))"
(5X5),"('UNSAT', 10.082057476043701, -1, -1, -1, (5, 5))"
(6X5),"('UNSAT', 8.512284994125366, -1, -1, -1, (6, 5))"
(7X5),"('UNSAT', 8.319331407546997, -1, -1, -1, (7, 5))"
(8X5),"('UNSAT', 8.437973976135254, -1, -1, -1, (8, 5))"
(1X6),"('UNSAT', 0.3637096881866455, -1, -1, -1, (1, 6))"
(2X6),"('UNSAT', 0.5693228244781494, -1, -1, -1, (2, 6))"
(3X6),"('UNSAT', 2.9996771812438965, -1, -1, -1, (3, 6))"
(4X6),"('UNSAT', 8.4150390625, -1, -1, -1, (4, 6))"
(5X6),"('UNSAT', 16.179025173187256, -1, -1, -1, (5, 6))"
(6X6),"('UNSAT', 15.002200603485107, -1, -1, -1, (6, 6))"
(7X6),"('UNSAT', 16.133058309555054, -1, -1, -1, (7, 6))"
(8X6),"('UNSAT', 21.66144323348999, -1, -1, -1, (8, 6))"
(1X7),"('UNSAT', 0.44896602630615234, -1, -1, -1, (1, 7))"
(2X7),"('UNSAT', 0.814408540725708, -1, -1, -1, (2, 7))"
(3X7),"('UNSAT', 1.3956332206726074, -1, -1, -1, (3, 7))"
(4X7),"('UNSAT', 21.842865467071533, -1, -1, -1, (4, 7))"
(5X7),"('UNSAT', 55.48118305206299, -1, -1, -1, (5, 7))"
(6X7),"('UNSAT', 54.217883825302124, -1, -1, -1, (6, 7))"
(7X7),"('UNSAT', 59.773967027664185, -1, -1, -1, (7, 7))"
(8X7),"('UNSAT', 43.93516945838928, -1, -1, -1, (8, 7))"
(1X8),"('UNSAT', 0.5214686393737793, -1, -1, -1, (1, 8))"
(2X8),"('UNSAT', 1.2062056064605713, -1, -1, -1, (2, 8))"
(3X8),"('UNSAT', 3.435870409011841, -1, -1, -1, (3, 8))"
(4X8),"('UNSAT', 42.67579531669617, -1, -1, -1, (4, 8))"
(5X8),"('SAT', -1, 101.8381, 0.168776, 2.6343130230090002e-05, (5, 8))"
(6X8),"('Unexplored', None, None, None, None, (-1, -1))"
(7X8),"('Unexplored', None, None, None, None, (-1, -1))"
(8X8),"('Unexplored', None, None, None, None, (-1, -1))"
