iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.018634319305419922, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.024566173553466797, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.024518966674804688, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.018912792205810547, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.0193483829498291, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.019367694854736328, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.018629789352416992, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.0186007022857666, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.01868915557861328, -1, -1, -1, (8, 1))"
(1X2),"('UNSAT', 0.043695688247680664, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.04585552215576172, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.04384756088256836, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.04571866989135742, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.04708695411682129, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.05761981010437012, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.04285550117492676, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.041445255279541016, -1, -1, -1, (8, 2))"
(1X3),"('UNSAT', 0.06098580360412598, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 0.1032555103302002, -1, -1, -1, (2, 3))"
(3X3),"('UNSAT', 0.09434390068054199, -1, -1, -1, (3, 3))"
(4X3),"('UNSAT', 0.10605502128601074, -1, -1, -1, (4, 3))"
(5X3),"('UNSAT', 0.08071565628051758, -1, -1, -1, (5, 3))"
(6X3),"('UNSAT', 0.05780768394470215, -1, -1, -1, (6, 3))"
(7X3),"('UNSAT', 0.0820925235748291, -1, -1, -1, (7, 3))"
(8X3),"('UNSAT', 0.06670570373535156, -1, -1, -1, (8, 3))"
(1X4),"('UNSAT', 0.08947348594665527, -1, -1, -1, (1, 4))"
(2X4),"('UNSAT', 0.1768636703491211, -1, -1, -1, (2, 4))"
(3X4),"('UNSAT', 0.18671941757202148, -1, -1, -1, (3, 4))"
(4X4),"('UNSAT', 0.20330572128295898, -1, -1, -1, (4, 4))"
