iterations,1,2,3,4,5,6
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 0.27115964889526367, 46.4607, 0.259278, 1.747132046148e-05, (0, 1))","('UNSAT', 0.014645099639892578, -1, -1, -1, (0, 1))","('UNSAT', 0.10375380516052246, -1, -1, -1, (0, 1))","('UNSAT', 0.023696422576904297, -1, -1, -1, (0, 1))","('UNSAT', 0.013948678970336914, -1, -1, -1, (0, 1))","('UNSAT', 0.013571977615356445, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.0246121883392334, -1, -1, -1, (1, 1))","('UNSAT', 0.10505414009094238, -1, -1, -1, (1, 1))","('UNSAT', 0.12138962745666504, -1, -1, -1, (1, 1))","('UNSAT', 0.055825233459472656, -1, -1, -1, (1, 1))","('UNSAT', 0.05380582809448242, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.09788203239440918, -1, -1, -1, (2, 1))","('UNSAT', 0.10057663917541504, -1, -1, -1, (2, 1))","('SAT', 0.2676072120666504, 24.8729, 0.113197, 6.998483968346e-06, (2, 1))","('UNSAT', 0.054926156997680664, -1, -1, -1, (2, 1))","('UNSAT', 0.05452990531921387, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.10362672805786133, -1, -1, -1, (3, 1))","('UNSAT', 0.10384106636047363, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.05495572090148926, -1, -1, -1, (3, 1))","('UNSAT', 0.0519719123840332, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.10332512855529785, -1, -1, -1, (4, 1))","('UNSAT', 0.1022336483001709, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.05305123329162598, -1, -1, -1, (4, 1))","('UNSAT', 0.05521035194396973, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.10182785987854004, -1, -1, -1, (5, 1))","('UNSAT', 0.10211038589477539, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.05332684516906738, -1, -1, -1, (5, 1))","('UNSAT', 0.05402779579162598, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.10050463676452637, -1, -1, -1, (6, 1))","('UNSAT', 0.10114002227783203, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.05231499671936035, -1, -1, -1, (6, 1))","('UNSAT', 0.05177426338195801, -1, -1, -1, (6, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.02617955207824707, -1, -1, -1, (1, 2))","('SAT', 0.28234028816223145, 35.6668, 0.197459, 1.0376727914260001e-05, (1, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.09136199951171875, -1, -1, -1, (1, 2))","('UNSAT', 0.09163069725036621, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.27965283393859863, 46.4607, 0.259278, 1.747132046148e-05, (2, 2))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.2485952377319336, 24.8729, 0.113197, 6.998483968346e-06, (2, 2))","('SAT', 0.25901126861572266, 24.8729, 0.113197, 6.998483968346e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
