iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
(9X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.12233138084411621, -1, -1, -1, (9, 1))","('UNSAT', 0.11674833297729492, -1, -1, -1, (9, 1))","('UNSAT', 0.11978292465209961, -1, -1, -1, (9, 1))","('UNSAT', 0.11288022994995117, -1, -1, -1, (9, 1))","('UNSAT', 0.1111760139465332, -1, -1, -1, (9, 1))","('UNSAT', 0.11440610885620117, -1, -1, -1, (9, 1))","('UNSAT', 0.12201619148254395, -1, -1, -1, (9, 1))","('UNSAT', 0.12380361557006836, -1, -1, -1, (9, 1))","('UNSAT', 0.12401914596557617, -1, -1, -1, (9, 1))","('UNSAT', 0.12292790412902832, -1, -1, -1, (9, 1))","('UNSAT', 0.12368106842041016, -1, -1, -1, (9, 1))","('UNSAT', 0.11451101303100586, -1, -1, -1, (9, 1))","('UNSAT', 0.11420559883117676, -1, -1, -1, (9, 1))","('UNSAT', 0.11393904685974121, -1, -1, -1, (9, 1))","('UNSAT', 0.11476588249206543, -1, -1, -1, (9, 1))","('UNSAT', 0.11281061172485352, -1, -1, -1, (9, 1))","('UNSAT', 0.11942577362060547, -1, -1, -1, (9, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 19.638797283172607, -1, -1, -1, (1, 2))","('UNSAT', 19.87943196296692, -1, -1, -1, (1, 2))","('UNSAT', 19.96756100654602, -1, -1, -1, (1, 2))","('UNSAT', 20.786986351013184, -1, -1, -1, (1, 2))","('UNSAT', 19.385315656661987, -1, -1, -1, (1, 2))","('UNSAT', 18.960240840911865, -1, -1, -1, (1, 2))","('UNSAT', 23.51850390434265, -1, -1, -1, (1, 2))","('UNSAT', 22.703789710998535, -1, -1, -1, (1, 2))","('UNSAT', 22.531322240829468, -1, -1, -1, (1, 2))","('UNSAT', 22.538148641586304, -1, -1, -1, (1, 2))","('UNSAT', 20.63310146331787, -1, -1, -1, (1, 2))","('UNSAT', 20.166555643081665, -1, -1, -1, (1, 2))","('UNSAT', 20.298028230667114, -1, -1, -1, (1, 2))","('UNSAT', 20.13938617706299, -1, -1, -1, (1, 2))","('UNSAT', 20.405450582504272, -1, -1, -1, (1, 2))","('UNSAT', 19.44700837135315, -1, -1, -1, (1, 2))","('UNSAT', 26.082486867904663, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('SAT', 35.577266216278076, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 31.327366590499878, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 30.700013399124146, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 30.08967924118042, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 29.766675233840942, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 30.243831634521484, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 40.72058582305908, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 35.25482678413391, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 35.23601698875427, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 34.32598662376404, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 30.745864391326904, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 30.961373567581177, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 31.197882652282715, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 31.070647716522217, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 30.447022438049316, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 34.55546689033508, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))","('SAT', 34.94403553009033, 107.939, 0.483904, 6.428630149458001e-05, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(7X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(8X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(9X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
