iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.04050421714782715, -1, -1, -1, (0, 1))","('UNSAT', 0.26889586448669434, -1, -1, -1, (0, 1))","('UNSAT', 0.26418495178222656, -1, -1, -1, (0, 1))","('UNSAT', 0.2612030506134033, -1, -1, -1, (0, 1))","('UNSAT', 0.27153801918029785, -1, -1, -1, (0, 1))","('UNSAT', 0.26216745376586914, -1, -1, -1, (0, 1))","('UNSAT', 0.2666463851928711, -1, -1, -1, (0, 1))","('UNSAT', 0.26296472549438477, -1, -1, -1, (0, 1))","('UNSAT', 0.26615095138549805, -1, -1, -1, (0, 1))","('UNSAT', 0.2656676769256592, -1, -1, -1, (0, 1))","('UNSAT', 0.2720639705657959, -1, -1, -1, (0, 1))","('UNSAT', 0.25855064392089844, -1, -1, -1, (0, 1))","('UNSAT', 0.27248549461364746, -1, -1, -1, (0, 1))","('UNSAT', 0.26955461502075195, -1, -1, -1, (0, 1))","('UNSAT', 0.27494359016418457, -1, -1, -1, (0, 1))","('UNSAT', 0.26773786544799805, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.13254642486572266, -1, -1, -1, (1, 1))","('UNSAT', 0.6720504760742188, -1, -1, -1, (1, 1))","('UNSAT', 0.6527242660522461, -1, -1, -1, (1, 1))","('UNSAT', 0.6370911598205566, -1, -1, -1, (1, 1))","('UNSAT', 0.6609461307525635, -1, -1, -1, (1, 1))","('UNSAT', 0.6475861072540283, -1, -1, -1, (1, 1))","('UNSAT', 0.6540331840515137, -1, -1, -1, (1, 1))","('UNSAT', 0.6610403060913086, -1, -1, -1, (1, 1))","('UNSAT', 0.6541547775268555, -1, -1, -1, (1, 1))","('UNSAT', 0.6487135887145996, -1, -1, -1, (1, 1))","('UNSAT', 0.6599972248077393, -1, -1, -1, (1, 1))","('UNSAT', 0.6351149082183838, -1, -1, -1, (1, 1))","('UNSAT', 0.6441116333007812, -1, -1, -1, (1, 1))","('UNSAT', 0.6620783805847168, -1, -1, -1, (1, 1))","('UNSAT', 0.6674497127532959, -1, -1, -1, (1, 1))","('UNSAT', 0.6523468494415283, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 1.0340161323547363, -1, -1, -1, (2, 1))","('UNSAT', 0.6608808040618896, -1, -1, -1, (2, 1))","('UNSAT', 0.6554200649261475, -1, -1, -1, (2, 1))","('UNSAT', 0.65203857421875, -1, -1, -1, (2, 1))","('UNSAT', 0.6582581996917725, -1, -1, -1, (2, 1))","('UNSAT', 0.6374478340148926, -1, -1, -1, (2, 1))","('UNSAT', 0.6595897674560547, -1, -1, -1, (2, 1))","('UNSAT', 0.6572849750518799, -1, -1, -1, (2, 1))","('UNSAT', 0.6550540924072266, -1, -1, -1, (2, 1))","('UNSAT', 0.6511483192443848, -1, -1, -1, (2, 1))","('UNSAT', 0.6525676250457764, -1, -1, -1, (2, 1))","('UNSAT', 0.6346607208251953, -1, -1, -1, (2, 1))","('UNSAT', 0.6709680557250977, -1, -1, -1, (2, 1))","('UNSAT', 0.6722621917724609, -1, -1, -1, (2, 1))","('UNSAT', 0.6647458076477051, -1, -1, -1, (2, 1))","('UNSAT', 0.6601049900054932, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.2597038745880127, -1, -1, -1, (3, 1))","('UNSAT', 0.6657276153564453, -1, -1, -1, (3, 1))","('UNSAT', 0.6538088321685791, -1, -1, -1, (3, 1))","('UNSAT', 0.6495542526245117, -1, -1, -1, (3, 1))","('UNSAT', 0.6463954448699951, -1, -1, -1, (3, 1))","('UNSAT', 0.6531631946563721, -1, -1, -1, (3, 1))","('UNSAT', 0.6577804088592529, -1, -1, -1, (3, 1))","('UNSAT', 0.6509099006652832, -1, -1, -1, (3, 1))","('UNSAT', 0.6607298851013184, -1, -1, -1, (3, 1))","('UNSAT', 0.6418190002441406, -1, -1, -1, (3, 1))","('UNSAT', 0.64947509765625, -1, -1, -1, (3, 1))","('UNSAT', 0.620246410369873, -1, -1, -1, (3, 1))","('UNSAT', 0.654620885848999, -1, -1, -1, (3, 1))","('UNSAT', 0.6499674320220947, -1, -1, -1, (3, 1))","('UNSAT', 0.6708321571350098, -1, -1, -1, (3, 1))","('UNSAT', 0.652324914932251, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 1.4561097621917725, -1, -1, -1, (4, 1))","('UNSAT', 0.6725986003875732, -1, -1, -1, (4, 1))","('UNSAT', 0.652073860168457, -1, -1, -1, (4, 1))","('UNSAT', 0.6527848243713379, -1, -1, -1, (4, 1))","('UNSAT', 0.6570580005645752, -1, -1, -1, (4, 1))","('UNSAT', 0.6510019302368164, -1, -1, -1, (4, 1))","('UNSAT', 0.6538472175598145, -1, -1, -1, (4, 1))","('UNSAT', 0.652294397354126, -1, -1, -1, (4, 1))","('UNSAT', 0.6612398624420166, -1, -1, -1, (4, 1))","('UNSAT', 0.6612019538879395, -1, -1, -1, (4, 1))","('UNSAT', 0.6520178318023682, -1, -1, -1, (4, 1))","('UNSAT', 0.6291043758392334, -1, -1, -1, (4, 1))","('UNSAT', 0.6546769142150879, -1, -1, -1, (4, 1))","('UNSAT', 0.655752420425415, -1, -1, -1, (4, 1))","('UNSAT', 0.666949987411499, -1, -1, -1, (4, 1))","('UNSAT', 0.654381275177002, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.40706586837768555, -1, -1, -1, (5, 1))","('UNSAT', 0.6623051166534424, -1, -1, -1, (5, 1))","('UNSAT', 0.661426305770874, -1, -1, -1, (5, 1))","('UNSAT', 0.6424953937530518, -1, -1, -1, (5, 1))","('UNSAT', 0.6478655338287354, -1, -1, -1, (5, 1))","('UNSAT', 0.6446514129638672, -1, -1, -1, (5, 1))","('UNSAT', 0.6557881832122803, -1, -1, -1, (5, 1))","('UNSAT', 0.6254208087921143, -1, -1, -1, (5, 1))","('UNSAT', 0.6625242233276367, -1, -1, -1, (5, 1))","('UNSAT', 0.6567966938018799, -1, -1, -1, (5, 1))","('UNSAT', 0.649864912033081, -1, -1, -1, (5, 1))","('UNSAT', 0.6418333053588867, -1, -1, -1, (5, 1))","('UNSAT', 0.6513309478759766, -1, -1, -1, (5, 1))","('UNSAT', 0.6490170955657959, -1, -1, -1, (5, 1))","('UNSAT', 0.6694118976593018, -1, -1, -1, (5, 1))","('UNSAT', 0.669325590133667, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 1.1970481872558594, -1, -1, -1, (6, 1))","('UNSAT', 0.6706011295318604, -1, -1, -1, (6, 1))","('UNSAT', 0.6503582000732422, -1, -1, -1, (6, 1))","('UNSAT', 0.6625869274139404, -1, -1, -1, (6, 1))","('UNSAT', 0.6541135311126709, -1, -1, -1, (6, 1))","('UNSAT', 0.6580791473388672, -1, -1, -1, (6, 1))","('UNSAT', 0.6571941375732422, -1, -1, -1, (6, 1))","('UNSAT', 0.6266980171203613, -1, -1, -1, (6, 1))","('UNSAT', 0.6649460792541504, -1, -1, -1, (6, 1))","('UNSAT', 0.6559586524963379, -1, -1, -1, (6, 1))","('UNSAT', 0.6644611358642578, -1, -1, -1, (6, 1))","('UNSAT', 0.6415750980377197, -1, -1, -1, (6, 1))","('UNSAT', 0.6509108543395996, -1, -1, -1, (6, 1))","('UNSAT', 0.6533563137054443, -1, -1, -1, (6, 1))","('UNSAT', 0.6670989990234375, -1, -1, -1, (6, 1))","('UNSAT', 0.6554739475250244, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 1.20186185836792, -1, -1, -1, (7, 1))","('UNSAT', 0.6633532047271729, -1, -1, -1, (7, 1))","('UNSAT', 0.6505260467529297, -1, -1, -1, (7, 1))","('UNSAT', 0.6559402942657471, -1, -1, -1, (7, 1))","('UNSAT', 0.653099775314331, -1, -1, -1, (7, 1))","('UNSAT', 0.6567175388336182, -1, -1, -1, (7, 1))","('UNSAT', 0.6414070129394531, -1, -1, -1, (7, 1))","('UNSAT', 0.6234421730041504, -1, -1, -1, (7, 1))","('UNSAT', 0.6623227596282959, -1, -1, -1, (7, 1))","('UNSAT', 0.6594736576080322, -1, -1, -1, (7, 1))","('UNSAT', 0.6520087718963623, -1, -1, -1, (7, 1))","('UNSAT', 0.6350967884063721, -1, -1, -1, (7, 1))","('UNSAT', 0.6596794128417969, -1, -1, -1, (7, 1))","('UNSAT', 0.6454758644104004, -1, -1, -1, (7, 1))","('UNSAT', 0.6689591407775879, -1, -1, -1, (7, 1))","('UNSAT', 0.6635787487030029, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 1.006199598312378, -1, -1, -1, (8, 1))","('UNSAT', 0.6628603935241699, -1, -1, -1, (8, 1))","('UNSAT', 0.6580190658569336, -1, -1, -1, (8, 1))","('UNSAT', 0.6438977718353271, -1, -1, -1, (8, 1))","('UNSAT', 0.6503067016601562, -1, -1, -1, (8, 1))","('UNSAT', 0.6576261520385742, -1, -1, -1, (8, 1))","('UNSAT', 0.6474618911743164, -1, -1, -1, (8, 1))","('UNSAT', 0.6188476085662842, -1, -1, -1, (8, 1))","('UNSAT', 0.6759319305419922, -1, -1, -1, (8, 1))","('UNSAT', 0.652245044708252, -1, -1, -1, (8, 1))","('UNSAT', 0.6523563861846924, -1, -1, -1, (8, 1))","('UNSAT', 0.6449158191680908, -1, -1, -1, (8, 1))","('UNSAT', 0.6529808044433594, -1, -1, -1, (8, 1))","('UNSAT', 0.641768217086792, -1, -1, -1, (8, 1))","('UNSAT', 0.6802375316619873, -1, -1, -1, (8, 1))","('UNSAT', 0.6622910499572754, -1, -1, -1, (8, 1))"
